StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,t_intro _First Click,t_intro _Last Click,t_intro _Page Submit,t_intro _Click Count,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,t_CTXTintro_First Click,t_CTXTintro_Last Click,t_CTXTintro_Page Submit,t_CTXTintro_Click Count,Intro,t_Printer_TC_First Click,t_Printer_TC_Last Click,t_Printer_TC_Page Submit,t_Printer_TC_Click Count,Bin.Printer_TC,t_Cell_Comp_First Click,t_Cell_Comp_Last Click,t_Cell_Comp_Page Submit,t_Cell_Comp_Click Count,Comp_Cell,t_TV_Attr_First Click,t_TV_Attr_Last Click,t_TV_Attr_Page Submit,t_TV_Attr_Click Count,Attr_TV,t_TV_Comp_First Click,t_TV_Comp_Last Click,t_TV_Comp_Page Submit,t_TV_Comp_Click Count,Comp_TV,t_Cell_Attr_First Click,t_Cell_Attr_Last Click,t_Cell_Attr_Page Submit,t_Cell_Attr_Click Count,Attr_Cell,t_TV_TC_First Click,t_TV_TC_Last Click,t_TV_TC_Page Submit,t_TV_TC_Click Count,Bin.TV_TC,t_Printer_Attr_First Click,t_Printer_Attr_Last Click,t_Printer_Attr_Page Submit,t_Printer_Attr_Click Count,Attr_Printer,t_Printer_Comp_First Click,t_Printer_Comp_Last Click,t_Printer_Comp_Page Submit,t_Printer_Comp_Click Count,Comp_Printer,t_Cell_TC_First Click,t_Cell_TC_Last Click,t_Cell_TC_Page Submit,t_Cell_TC_Click Count,Bin.Cell_TC,FL_213_DO_FL_215,FL_213_DO_FL_241,FL_213_DO_FL_255,FL_213_DO_FL_292,FL_213_DO_FL_274,FL_213_DO_FL_304,FL_224_DO_Bin.Printet_TC,FL_224_DO_Comp.Cell,FL_224_DO_Attr.TV,FL_244_DO_Bin.Printet_TC,FL_244_DO_Comp.TV,FL_244_DO_Attr.Cell,FL_258_DO_Bin.TV_TC,FL_258_DO_Comp.Cell,FL_258_DO_Attr.Printer,FL_295_DO_Bin.TV_TC,FL_295_DO_Attr.Cell,FL_295_DO_Comp.Printer,FL_277_DO_Bin.Cell_TC,FL_277_DO_Attr.Printer,FL_277_DO_Comp.TV,FL_307_DO_Bin.Cell_TC,FL_307_DO_Attr.TV,FL_307_DO_Comp.Printer,TWIN_ID
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Practice Scenario: Office Chair



The office chair you have now is so old that it is starting to break. Unfortunately, the same model is no longer available anywhere, so you have to look for something else. On the website of a furniture store, you will come across different models in different price categories. Of course, you want an office chair that matches the rest of your furniture. After you’ve looked at which office chair would look good in the room, you still have a few options left.



Which of the office chairs below would you choose?

 

	
		
	
	
		
			Flintan
			Jules
			Molter
		
		
			Material Quality: Good

			Adjustment Option: 2

			Comfort: Good
			Material Quality: Very Good

			Adjustment Option: 5

			Comfort: Very Good
			Material Quality: Average

			Adjustment Option: 1

			Comfort: Average
		
		
			Price: $229

			Shipping: $5
			Price: $289

			Shipping: $10
			Price: $199

			Shipping: $7.5",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Scenario: Printer



Because you regularly have to print documents for school, you are looking for a printer. You never bought a printer before, so you ask a friend for help. They helped you with your search and found a brand that seemed to meet your needs. On their advice, you go and see what this brand has to offer, and you find some printers that suit you. For you, additional to the price, the speed of the printer, ease of use, and qualities of the prints were important.



Below you will find all printers with corresponding prices and specifications from which you can choose:

 

	
		
	
	
		
			1000AX
			240-C
		
		
			Speed: 9 pages per minute

			Storage: 150 Sheets

			Quality: Very Good
			Speed: 15 pages per minutes

			Storage: 200 Sheets

			Quality: Excellent
		
		
			Price: $154

			Price per page: $0.05
			Price: $209

			Price per page: $0.06",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Scenario: Cellphone



You had the same phone for five years, and you think you need a new one. You have already searched the internet for which models appeal to you. In any case, you want a large screen so that everything is easy to read. Furthermore, the phones with a bad battery have already been filtered out. Because you sometimes drop your phone, you decide to take our insurance as well. All few options remain, all including insurance. You will make a choice from this.



Below you will find all phones with corresponding prices and specifications from which you can choose.

 

	
		
	
	
		
			AP-303
			X-3A
			B-1000
		
		
			Processor Speed: 1.2 Ghz

			Camera Settings: 1

			Ease of Use: 4/10
			Processor Speed: 2.0 Ghz

			Camera Settings: 2

			Ease of Use: 8/10
			Processor Speed: 2.8 Ghz

			Camera Settings: 4

			Ease of Use: 9/10
		
		
			Price: $429

			Insurance Premium: $7/Month
			Price: $599

			Insurance Premium: $10/Month
			Price: $729

			Insurance Premium: $13/Month",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Scenario: Television



You still have a fairly old television, and you would like a new smart TV. You decide to search online so that you don’t have to go to the store. There are a few televisions in the most bought category. You don’t really feel like searching much longer; there are so many televisions out there that you’re probably going to make it way too hard on yourself by looking further. You, therefore, decide to choose a model from these televisions.



The different prices and specifications of the televisions can be found below:

 

	
		
	
	
		
			Hal-B
			HD-558
			UHD-9000
		
		
			Screen Size: 38 inch

			Picture Quality: Average

			Ease of Use: Average
			Screen Size: 42 inch

			Picture Quality: Very Good

			Ease of Use: Easy
			Screen Size: 50 inch

			Picture Quality: Excellent

			Ease of Use: Excellent
		
		
			Price: $399

			Shipping: $10
			Price: $399

			Shipping: $10
			Price: $649

			Shipping: $15",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Scenario: Television



You still have a fairly old television, and you would like a new smart TV. You decide to search online so that you don’t have to go to the store. There are a few televisions in the most bought category. You don’t really feel like searching much longer; there are so many televisions out there that you’re probably going to make it way too hard on yourself by looking further. You, therefore, decide to choose a model from these televisions.



The different prices and specifications of the televisions can be found below:

 

	
		
			C-Pro
			HD-558
			UHD-9000
		
		
			Screen Size: 27 inch

			Picture Quality: Average

			Ease of Use: Poor
			Screen Size: 42 inch

			Picture Quality: Very Good

			Ease of Use: Easy
			Screen Size: 50 inch

			Picture Quality: Excellent

			Ease of Use: Excellent
		
		
			Price: $199

			Shipping: $8
			Price: $399

			Shipping: $10
			Price: $649

			Shipping: $15",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Scenario: Cellphone



You had the same phone for five years, and you think you need a new one. You have already searched the internet for which models appeal to you. In any case, you want a large screen so that everything is easy to read. Furthermore, the phones with a bad battery have already been filtered out. Because you sometimes drop your phone, you decide to take our insurance as well. All few options remain, all including insurance. You will make a choice from this.



Below you will find all phones with corresponding prices and specifications from which you can choose.

 

	
		
			5C-S
			X-3A
			B-1000
		
		
			Processor speed: 1.8 Ghz

			Camera Setting: 2

			Ease of Use: 8/10
			Processor speed: 2.0 Ghz

			Camera Setting: 2

			Ease of Use: 8/10
			Processor speed: 2.8 Ghz

			Camera Setting: 4

			Ease of Use: 9/10
		
		
			Price: $599

			Insurance Premium: $10/Month
			Price: $599

			Insurance Premium: $10/Month
			Price: $729

			Insurance Premium: $13/Month",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Scenario: Television



You still have a fairly old television, and you would like a new smart TV. You decide to search online so that you don’t have to go to the store. There are a few televisions in the most bought category. You don’t really feel like searching much longer; there are so many televisions out there that you’re probably going to make it way too hard on yourself by looking further. You, therefore, decide to choose a model from these televisions.



The different prices and specifications of the televisions can be found below:

 

	
		
			HD-558
			UHD-9000
		
		
			Screen Size: 42 inch

			Picture Quality: Very Good

			Ease of Use: Easy
			Screen Size: 50 inch

			Picture Quality: Excellent

			Ease of Use: Excellent
		
		
			Price: $399

			Shipping: $10
			Price: $649

			Shipping: $15",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Scenario: Printer



Because you regularly have to print documents for school, you are looking for a printer. You never bought a printer before, so you ask a friend for help. They helped you with your search and found a brand that seemed to meet your needs. On their advice, you go and see what this brand has to offer, and you find some printers that suit you. For you, additional to the price, the speed of the printer, ease of use, and qualities of the prints were important.



Below you will find all printers with corresponding prices and specifications from which you can choose:

 

	
		
			L22
			1000AX
			240-C
		
		
			Speed: 7 pages per minute

			Storage: 100 Sheets

			Quality: Fair
			Speed: 9 pages per minute

			Storage: 150 Sheets

			Quality: Very Good
			Speed: 15 pages per minute

			Storage: 200 Sheets

			Quality: Excellent
		
		
			Price: $154

			Price per page: $0.05
			Price: $154

			Price per page: $0.05
			Price: $209

			Price per page: $0.06",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Scenario: Printer



Because you regularly have to print documents for school, you are looking for a printer. You never bought a printer before, so you ask a friend for help. They helped you with your search and found a brand that seemed to meet your needs. On their advice, you go and see what this brand has to offer, and you find some printers that suit you. For you, additional to the price, the speed of the printer, ease of use, and qualities of the prints were important.



Below you will find all printers with corresponding prices and specifications from which you can choose:

 

	
		
			50B3
			1000AX
			240-C
		
		
			Speed: 6 pages per minute

			Storage: 90 Sheets

			Quality: Poor
			Speed: 9 pages per minute

			Storage: 150 Sheets

			Quality: Very Good
			Speed: 15 pages per minute

			Storage: 200 Sheets

			Quality: Excellent
		
		
			Price: $79

			Price per page: $0.02
			Price: $154

			Price per page: $0.05
			Price: $209

			Price per page: $0.06",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Scenario: Cellphone



You had the same phone for five years, and you think you need a new one. You have already searched the internet for which models appeal to you. In any case, you want a large screen so that everything is easy to read. Furthermore, the phones with a bad battery have already been filtered out. Because you sometimes drop your phone, you decide to take our insurance as well. All few options remain, all including insurance. You will make a choice from this.



Below you will find all phones with corresponding prices and specifications from which you can choose.

 

	
		
			X-3A
			B-1000
		
		
			Processor Speed: 2.0 Ghz

			Camera Settings: 2

			Ease of Use: 8/10
			Processor Speed: 2.8 Ghz

			Camera Settings: 4

			Ease of Use: 9/10
		
		
			Price: $599

			Insurance Premium: $10/Month
			Price: $729

			Insurance Premium: $13/Month",FL_213 - Block Randomizer - Display Order - FL_215,FL_213 - Block Randomizer - Display Order - FL_241,FL_213 - Block Randomizer - Display Order - FL_255,FL_213 - Block Randomizer - Display Order - FL_292,FL_213 - Block Randomizer - Display Order - FL_274,FL_213 - Block Randomizer - Display Order - FL_304,FL_224 - Block Randomizer - Display Order - Bin.Printet_TC,FL_224 - Block Randomizer - Display Order - Comp.Cell,FL_224 - Block Randomizer - Display Order - Attr.TV,FL_244 - Block Randomizer - Display Order - Bin.Printet_TC,FL_244 - Block Randomizer - Display Order - Comp.TV,FL_244 - Block Randomizer - Display Order - Attr.Cell,FL_258 - Block Randomizer - Display Order - Bin.TV_TC,FL_258 - Block Randomizer - Display Order - Comp.Cell,FL_258 - Block Randomizer - Display Order - Attr.Printer,FL_295 - Block Randomizer - Display Order - Bin.TV_TC,FL_295 - Block Randomizer - Display Order - Attr.Cell,FL_295 - Block Randomizer - Display Order - Comp.Printer,FL_277 - Block Randomizer - Display Order - Bin.Cell_TC,FL_277 - Block Randomizer - Display Order - Attr.Printer,FL_277 - Block Randomizer - Display Order - Comp.TV,FL_307 - Block Randomizer - Display Order - Bin.Cell_TC,FL_307 - Block Randomizer - Display Order - Attr.TV,FL_307 - Block Randomizer - Display Order - Comp.Printer,TWIN_ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID623_FIRST_CLICK""}","{""ImportId"":""QID623_LAST_CLICK""}","{""ImportId"":""QID623_PAGE_SUBMIT""}","{""ImportId"":""QID623_CLICK_COUNT""}","{""ImportId"":""QID624_BROWSER""}","{""ImportId"":""QID624_VERSION""}","{""ImportId"":""QID624_OS""}","{""ImportId"":""QID624_RESOLUTION""}","{""ImportId"":""QID542_FIRST_CLICK""}","{""ImportId"":""QID542_LAST_CLICK""}","{""ImportId"":""QID542_PAGE_SUBMIT""}","{""ImportId"":""QID542_CLICK_COUNT""}","{""ImportId"":""QID544""}","{""ImportId"":""QID556_FIRST_CLICK""}","{""ImportId"":""QID556_LAST_CLICK""}","{""ImportId"":""QID556_PAGE_SUBMIT""}","{""ImportId"":""QID556_CLICK_COUNT""}","{""ImportId"":""QID557""}","{""ImportId"":""QID578_FIRST_CLICK""}","{""ImportId"":""QID578_LAST_CLICK""}","{""ImportId"":""QID578_PAGE_SUBMIT""}","{""ImportId"":""QID578_CLICK_COUNT""}","{""ImportId"":""QID579""}","{""ImportId"":""QID564_FIRST_CLICK""}","{""ImportId"":""QID564_LAST_CLICK""}","{""ImportId"":""QID564_PAGE_SUBMIT""}","{""ImportId"":""QID564_CLICK_COUNT""}","{""ImportId"":""QID565""}","{""ImportId"":""QID566_FIRST_CLICK""}","{""ImportId"":""QID566_LAST_CLICK""}","{""ImportId"":""QID566_PAGE_SUBMIT""}","{""ImportId"":""QID566_CLICK_COUNT""}","{""ImportId"":""QID567""}","{""ImportId"":""QID576_FIRST_CLICK""}","{""ImportId"":""QID576_LAST_CLICK""}","{""ImportId"":""QID576_PAGE_SUBMIT""}","{""ImportId"":""QID576_CLICK_COUNT""}","{""ImportId"":""QID577""}","{""ImportId"":""QID558_FIRST_CLICK""}","{""ImportId"":""QID558_LAST_CLICK""}","{""ImportId"":""QID558_PAGE_SUBMIT""}","{""ImportId"":""QID558_CLICK_COUNT""}","{""ImportId"":""QID559""}","{""ImportId"":""QID570_FIRST_CLICK""}","{""ImportId"":""QID570_LAST_CLICK""}","{""ImportId"":""QID570_PAGE_SUBMIT""}","{""ImportId"":""QID570_CLICK_COUNT""}","{""ImportId"":""QID571""}","{""ImportId"":""QID572_FIRST_CLICK""}","{""ImportId"":""QID572_LAST_CLICK""}","{""ImportId"":""QID572_PAGE_SUBMIT""}","{""ImportId"":""QID572_CLICK_COUNT""}","{""ImportId"":""QID573""}","{""ImportId"":""QID560_FIRST_CLICK""}","{""ImportId"":""QID560_LAST_CLICK""}","{""ImportId"":""QID560_PAGE_SUBMIT""}","{""ImportId"":""QID560_CLICK_COUNT""}","{""ImportId"":""QID561""}","{""ImportId"":""FL_213_DO"",""choiceId"":""FL_215""}","{""ImportId"":""FL_213_DO"",""choiceId"":""FL_241""}","{""ImportId"":""FL_213_DO"",""choiceId"":""FL_255""}","{""ImportId"":""FL_213_DO"",""choiceId"":""FL_292""}","{""ImportId"":""FL_213_DO"",""choiceId"":""FL_274""}","{""ImportId"":""FL_213_DO"",""choiceId"":""FL_304""}","{""ImportId"":""FL_224_DO"",""choiceId"":""Bin.Printet_TC""}","{""ImportId"":""FL_224_DO"",""choiceId"":""Comp.Cell""}","{""ImportId"":""FL_224_DO"",""choiceId"":""Attr.TV""}","{""ImportId"":""FL_244_DO"",""choiceId"":""Bin.Printet_TC""}","{""ImportId"":""FL_244_DO"",""choiceId"":""Comp.TV""}","{""ImportId"":""FL_244_DO"",""choiceId"":""Attr.Cell""}","{""ImportId"":""FL_258_DO"",""choiceId"":""Bin.TV_TC""}","{""ImportId"":""FL_258_DO"",""choiceId"":""Comp.Cell""}","{""ImportId"":""FL_258_DO"",""choiceId"":""Attr.Printer""}","{""ImportId"":""FL_295_DO"",""choiceId"":""Bin.TV_TC""}","{""ImportId"":""FL_295_DO"",""choiceId"":""Attr.Cell""}","{""ImportId"":""FL_295_DO"",""choiceId"":""Comp.Printer""}","{""ImportId"":""FL_277_DO"",""choiceId"":""Bin.Cell_TC""}","{""ImportId"":""FL_277_DO"",""choiceId"":""Attr.Printer""}","{""ImportId"":""FL_277_DO"",""choiceId"":""Comp.TV""}","{""ImportId"":""FL_307_DO"",""choiceId"":""Bin.Cell_TC""}","{""ImportId"":""FL_307_DO"",""choiceId"":""Attr.TV""}","{""ImportId"":""FL_307_DO"",""choiceId"":""Comp.Printer""}",TWIN_ID
5/30/2025 9:17,5/30/2025 9:19,100,127,1,5/30/2025 9:19,1,,0,0,,,0,0,10.739,0,Chrome,136.0.0.0,Windows NT 10.0,1536x960,42.744,42.744,43.741,1,2,14.128,14.128,15.166,1,2,,,,,,,,,,,17.572,17.572,18.751,1,2,22.261,22.261,23.27,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,3,,,,,,,,,,,,,1
5/30/2025 9:13,5/30/2025 9:15,100,115,1,5/30/2025 9:15,1,,0,0,,,0,0,12.653,0,Chrome,136.0.0.0,Macintosh,1152x720,7.445,36.262,37.738,2,2,19.326,19.326,21.164,1,1,,,,,,,,,,,13.307,13.307,15.726,1,1,16.196,16.196,17.816,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,3,2,,,,,,,,,,,,,2
5/30/2025 9:23,5/30/2025 9:26,100,132,1,5/30/2025 9:26,1,,0,0,,,0,0,65.663,0,Chrome,137.0.0.0,Windows NT 10.0,1920x1080,17.417,17.417,18.518,1,2,,,,,,14.491,14.491,15.655,1,3,,,,,,,,,,,,,,,,9.512,9.512,10.447,1,2,8.305,8.305,10.165,1,2,,,,,,,,,,,,,1,,,,,,,,,,2,1,3,,,,,,,,,,3
5/30/2025 9:54,5/30/2025 9:55,100,89,1,5/30/2025 9:55,0.8999999761581421,,0,0,,,2.734,2.734,3.699,1,Chrome,136.0.0.0,Windows NT 10.0,1600x900,25.72,25.72,29.777,1,2,,,,,,,,,,,,,,,,,,,,,20.006,20.006,22.073,1,3,7.075,7.075,13.754,1,2,,,,,,6.088,10.631,14.641,2,1,,,,,,,,,1,,,,,,,,,,,,1,2,3,,,,,,,4
5/30/2025 9:51,5/30/2025 9:55,100,230,1,5/30/2025 9:55,1,,0,0,,,0,0,7.119,0,Chrome,136.0.0.0,Macintosh,1470x956,53.308,60.753,62.59,2,2,,,,,,,,,,,,,,,,,,,,,54.969,54.969,56.112,1,3,47.313,47.313,52.776,1,2,,,,,,31.781,31.781,34.042,1,3,,,,,,,,,1,,,,,,,,,,,,3,1,2,,,,,,,6
5/30/2025 10:04,5/30/2025 10:05,100,104,1,5/30/2025 10:05,1,,0,0,,,0,0,17.207,0,Firefox,139,Windows NT 10.0,1920x1080,22.876,22.876,23.885,1,2,10.013,10.013,15.103,1,1,,,,,,,,,,,8.8,8.8,10.055,1,3,26.322,26.322,27.128,1,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,2,1,,,,,,,,,,,,,11
5/30/2025 12:16,5/30/2025 12:17,100,83,1,5/30/2025 12:17,1,,0,0,,,0,0,7.014,0,Chrome,137.0.0.0,Macintosh,2400x1350,17.865,17.865,19.483,1,2,,,,,,18.829,18.829,22.196,1,2,,,,,,,,,,,,,,,,13.572,13.572,14.871,1,2,9.854,9.854,11.35,1,3,,,,,,,,,,,,,1,,,,,,,,,,1,2,3,,,,,,,,,,13
5/30/2025 9:19,5/30/2025 9:22,100,155,1,5/30/2025 9:22,1,,0,0,,,5.639,5.639,6.278,1,Safari,18.5,Macintosh,1440x900,29.831,29.831,36.086,1,2,,,,,,28.031,28.031,29.271,1,3,,,,,,,,,,,,,,,,35.809,35.809,36.683,1,2,28.072,28.072,28.961,1,2,,,,,,,,,,,,,1,,,,,,,,,,3,1,2,,,,,,,,,,14
