StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,t_intro _First Click,t_intro _Last Click,t_intro _Page Submit,t_intro _Click Count,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,t_OPTOUT_Green_First Click,t_OPTOUT_Green_Last Click,t_OPTOUT_Green_Page Submit,t_OPTOUT_Green_Click Count,OPTOUT_Green,t_OPTIN_Green_First Click,t_OPTIN_Green_Last Click,t_OPTIN_Green_Page Submit,t_OPTIN_Green_Click Count,OPTIN_Green,t_OPTIN_Organ_First Click,t_OPTIN_Organ_Last Click,t_OPTIN_Organ_Page Submit,t_OPTIN_Organ_Click Count,OPTIN_Organ,t_OPTOUT_Organ_First Click,t_OPTOUT_Organ_Last Click,t_OPTOUT_Organ_Page Submit,t_OPTOUT_Organ_Click Count,OPTOUT_Organ,FL_344_DO_FL_345,FL_344_DO_FL_348,FL_212_DO_OPTOUT_Green,FL_212_DO_OPTIN_Green,FL_338_DO_OPTIN_Organ,FL_338_DO_OPTOUT_Organ,FL_353_DO_OPTIN_Organ,FL_353_DO_OPTOUT_Organ,FL_349_DO_OPTOUT_Green,FL_349_DO_OPTIN_Green,,TWIN_ID
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Imagine you have to relocate to another town. After you move into your new flat, you receive a letter from the electric power supplier, GreenGrid. You are told that by moving into your new flat you became an GreenGrid customer: ‘GreenGrid is pleased to welcome you as a new customer. We are responsible for the basic electricity supply in this residential area. GreenGrid sells clean electricity, generated from renewable energy sources. Contribute to climate protection and environmental protection! Your monthly premium is $39’. You are kindly asked to fill in some personal data on an attached document, which you do. A couple of days later a contract is sent to you.



Some weeks later you find a flyer in you mailbox, advertising offers from the electric power supplier Twon: ‘Switch to Twon! Did you know that you can easily switch your electricity supplier? We offer low-priced electricity tariffs—you cannot beat our prices. Save money with Twon! Your monthly premium will be $32.'



What do you do?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Imagine you have to relocate to another town. After you move into your new flat, you receive a letter from the electric power supplier, Twon. You are told that by moving into your new flat you became an Twon customer: ‘Twon is pleased to welcome you as a new customer. We are responsible for the basic electricity supply in this residential area. We offer low-priced electricity tariffs—you cannot beat our prices. Save money with Twon! Your monthly premium is $32’. You are kindly asked to fill in some personal data on an attached document, which you do. A couple of days later a contract is sent to you.



Some weeks later you find a flyer in you mailbox, advertising offers from the electric power supplier GreenGrid: ‘Switch to GreenGrid! Did you know that you can easily switch your electricity supplier? GreenGrid sells clean electricity, generated from renewable energy sources. Contribute to climate protection and environmental protection! Your monthly premium will be $39.'



What do you do?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Imagine that you just moved to a new state and must get a new driver’s license. As you complete the application, you come across the following. Please read and respond as you would if you were actually presented this choice today. We are interested in your honest response.

In this state every person is considered not to be an organ donor unless they choose to be.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Imagine that you just moved to a new state and must get a new driver’s license. As you complete the application, you come across the following. Please read and respond as you would if you were actually presented this choice today. We are interested in your honest response.

In this state every person is considered to be an organ donor unless they choose not to be.",FL_344 - Block Randomizer - Display Order - FL_345,FL_344 - Block Randomizer - Display Order - FL_348,FL_212 - Block Randomizer - Display Order - OPTOUT_Green,FL_212 - Block Randomizer - Display Order - OPTIN_Green,FL_338 - Block Randomizer - Display Order - OPTIN_Organ,FL_338 - Block Randomizer - Display Order - OPTOUT_Organ,FL_353 - Block Randomizer - Display Order - OPTIN_Organ,FL_353 - Block Randomizer - Display Order - OPTOUT_Organ,FL_349 - Block Randomizer - Display Order - OPTOUT_Green,FL_349 - Block Randomizer - Display Order - OPTIN_Green,,TWIN_ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID622_FIRST_CLICK""}","{""ImportId"":""QID622_LAST_CLICK""}","{""ImportId"":""QID622_PAGE_SUBMIT""}","{""ImportId"":""QID622_CLICK_COUNT""}","{""ImportId"":""QID623_BROWSER""}","{""ImportId"":""QID623_VERSION""}","{""ImportId"":""QID623_OS""}","{""ImportId"":""QID623_RESOLUTION""}","{""ImportId"":""QID553_FIRST_CLICK""}","{""ImportId"":""QID553_LAST_CLICK""}","{""ImportId"":""QID553_PAGE_SUBMIT""}","{""ImportId"":""QID553_CLICK_COUNT""}","{""ImportId"":""QID554""}","{""ImportId"":""QID538_FIRST_CLICK""}","{""ImportId"":""QID538_LAST_CLICK""}","{""ImportId"":""QID538_PAGE_SUBMIT""}","{""ImportId"":""QID538_CLICK_COUNT""}","{""ImportId"":""QID539""}","{""ImportId"":""QID613_FIRST_CLICK""}","{""ImportId"":""QID613_LAST_CLICK""}","{""ImportId"":""QID613_PAGE_SUBMIT""}","{""ImportId"":""QID613_CLICK_COUNT""}","{""ImportId"":""QID614""}","{""ImportId"":""QID615_FIRST_CLICK""}","{""ImportId"":""QID615_LAST_CLICK""}","{""ImportId"":""QID615_PAGE_SUBMIT""}","{""ImportId"":""QID615_CLICK_COUNT""}","{""ImportId"":""QID616""}","{""ImportId"":""FL_344_DO"",""choiceId"":""FL_345""}","{""ImportId"":""FL_344_DO"",""choiceId"":""FL_348""}","{""ImportId"":""FL_212_DO"",""choiceId"":""OPTOUT_Green""}","{""ImportId"":""FL_212_DO"",""choiceId"":""OPTIN_Green""}","{""ImportId"":""FL_338_DO"",""choiceId"":""OPTIN_Organ""}","{""ImportId"":""FL_338_DO"",""choiceId"":""OPTOUT_Organ""}","{""ImportId"":""FL_353_DO"",""choiceId"":""OPTIN_Organ""}","{""ImportId"":""FL_353_DO"",""choiceId"":""OPTOUT_Organ""}","{""ImportId"":""FL_349_DO"",""choiceId"":""OPTOUT_Green""}","{""ImportId"":""FL_349_DO"",""choiceId"":""OPTIN_Green""}",,TWIN_ID
5/30/2025 9:21,5/30/2025 9:23,100,135,1,5/30/2025 9:23,1,,0,0,,,0,0,16.961,0,Chrome,136.0.0.0,Windows NT 10.0,1536x960,,,,,,53.515,54.479,54.822,2,1,45.837,45.837,46.836,1,1,,,,,,1,,,1,1,,,,,,,1
5/30/2025 9:21,5/30/2025 9:23,100,111,1,5/30/2025 9:23,1,,0,0,,,0,0,28.039,0,Chrome,136.0.0.0,Macintosh,1152x720,38.61,38.61,39.945,1,1,,,,,,,,,,,21.319,21.319,22.617,1,1,1,,1,,,1,,,,,,2
5/30/2025 9:26,5/30/2025 9:27,100,60,1,5/30/2025 9:27,1,,0,0,,,0,0,3.274,0,Chrome,137.0.0.0,Windows NT 10.0,1920x1080,25.128,25.128,26.299,1,1,,,,,,,,,,,17.784,17.784,19.143,1,1,1,,1,,,1,,,,,,3
5/30/2025 9:41,5/30/2025 9:42,100,80,1,5/30/2025 9:42,0.8999999761581421,,0,0,,,18.027,18.027,19.112,1,Chrome,136.0.0.0,Windows NT 10.0,1600x900,24.789,24.789,26.084,1,1,,,,,,21.838,21.838,22.62,1,2,,,,,,,1,,,,,1,,1,,,4
5/30/2025 9:56,5/30/2025 9:58,100,149,1,5/30/2025 9:58,1,,0,0,,,3.941,26.929,34.958,5,Chrome,136.0.0.0,Macintosh,1470x956,,,,,,64.22,64.22,66.86,1,2,,,,,,26.537,26.537,28.563,1,1,,1,,,,,,1,,1,,6
5/30/2025 10:06,5/30/2025 10:07,100,75,1,5/30/2025 10:07,1,,0,0,,,0,0,10.811,0,Firefox,139,Windows NT 10.0,1920x1080,,,,,,23.008,23.008,23.964,1,2,28.192,28.192,29.316,1,2,,,,,,,1,,,,,1,,,1,,11
5/30/2025 12:20,5/30/2025 12:21,100,56,1,5/30/2025 12:21,1,,0,0,,,0,0,8.211,0,Chrome,137.0.0.0,Macintosh,2400x1350,,,,,,22.02,22.02,25.471,1,2,,,,,,12.432,12.432,14.017,1,1,1,,,1,,1,,,,,,13
5/30/2025 9:22,5/30/2025 9:24,100,89,1,5/30/2025 9:24,0.8999999761581421,,0,0,,,0,0,13.343,0,Safari,18.5,Macintosh,1440x900,43.415,43.415,44.987,1,1,,,,,,20.52,20.52,21.325,1,2,,,,,,,1,,,,,1,,1,,,14
