StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,CONSENT,prod_choice,prod_choice_DO_1,prod_choice_DO_2,prod_choice_DO_3,prod_choice_DO_4,prod_choice_DO_5,prod_choice_DO_6,t_scen2_First Click,t_scen2_Last Click,t_scen2_Page Submit,t_scen2_Click Count,NFT + NonExcl,noNFT + NonExcl,t_write_First Click,t_write_Last Click,t_write_Page Submit,t_write_Click Count,DV1_1,DV1_2,DV1_3,DV1_DO_1,DV1_DO_2,DV1_DO_3,WTP,Open,fami_NFT,effort,own,test,item,FL_9_DO_FL_10,FL_9_DO_FL_11,FL_86_DO_DV(s),FL_86_DO_WTP,TWIN_ID,
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,"ONLINE CONSENT TO PARTICIPATE 

 

You were invited to participate in this study because you participated in a previous four-wave study (IRB-AAAV5832) which asked you questions about your personality and preferences. The measures collected in this new study will also be used to create a “digital twin,” which is a large language model customized to replicate your responses.

 

Information on Research: In this study, we will ask you to answer a few questions regarding some high-end goods. You must be over 18 years of age to participate. The following information is important for your informed consent.



The project is titled “Metaverse & Digitization of Consumer Marketplace” (Protocol Number: AAAT9896) and is being run by Professor Silvia Bellezza and Kristen Lane at Columbia University, Sanghyeok Park, a PhD student at Columbia University. The study is done to understand different styles of consumption.



The study will take the amount of time that was advertised to you, which will be around 4 minutes for most participants.



Risk & Benefits: Please note that there is no potential risk involved other than a potential breach of confidentiality, but also the survey will provide no benefit to you. 



Please make sure you read and understand the questions carefully before answering. There are no right or wrong answers, so feel free to report your answers openly and truthfully. Participation is completely voluntary, and you are free to choose whether to withdraw from the study at any time without penalty or consequences of any kind. All information that you provide will be treated confidentially and all questions are anonymous. Furthermore, we will keep the data in a password-locked local device of the researcher for security. CU Human Research Protection Office and the federal Office of Human Research Protections may obtain access to the data collected for this study.



The study will take approximately 4 minutes to complete. You will receive instructions and a code at the end of the survey to redeem your credits.



If you have any questions about this study, you can contact spark24@gsb.columbia.edu. Please write down this contact information or print this consent document before proceeding to the study so that you can contact the researcher should any questions or concerns arise during your participation in the study.



Moreover, if at any time you have specific questions or concerns about your rights or welfare as a study participant, contact the Columbia University Morningside Human Research Protection Office (HRPO) at 212-305-5883 or email askirb@columbia.edu.



By clicking “I agree” below, you acknowledge that you understand the procedures described above, that you are at least 18 years old, and you agree to participate in this study.



Thank you for your participation.",Here is a description of 6 sweaters by a luxury brand. Please choose the sweater that you are most interested in.,"Here is a description of 6 sweaters by a luxury brand. Please choose the sweater that you are most interested in. - Display Order - A black menswear button-up sweater with a high neckline, cuffed sleeves, and 5 tortoise shell buttons",Here is a description of 6 sweaters by a luxury brand. Please choose the sweater that you are most interested in. - Display Order - A black womenswear crop-top tie-front sweater with a black fur trim at the neckline,Here is a description of 6 sweaters by a luxury brand. Please choose the sweater that you are most interested in. - Display Order - A pullover beige womenswear knit sweater with light blue and pink flower patterns,"Here is a description of 6 sweaters by a luxury brand. Please choose the sweater that you are most interested in. - Display Order - A dark blue menswear button-up sweater with a high neckline, two front pockets, and 5 brass snap buttons","Here is a description of 6 sweaters by a luxury brand. Please choose the sweater that you are most interested in. - Display Order - A patterned black, white, and royal blue womenswear button-up sweater with a tie belt","Here is a description of 6 sweaters by a luxury brand. Please choose the sweater that you are most interested in. - Display Order - An olive menswear button-up sweater with a high neckline, no pockets, and 5 brown buttons",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Imagine you decided to purchase this luxury sweater and style it for your night out, but during your night out you noticed many other people wearing the same luxury sweater. However, you know your sweater is associated with a digital ID in a digital passport, so your proof of ownership, and the journey of the sweater, are completely transparent.



Please imagine your night out in detail. Briefly describe how you look and how you would feel wearing this sweater during your night out.","Imagine you decided to purchase this luxury sweater and style it for your night out, but during your night out you noticed many other people wearing the same luxury sweater.

 

Please imagine your night out in detail. Briefly describe how you look and how you would feel wearing this sweater during your night out.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please answer the following questions. To what extent do you think the sweater is... - Luxurious,Please answer the following questions. To what extent do you think the sweater is... - High Status,Please answer the following questions. To what extent do you think the sweater is... - Prestigious,Please answer the following questions. To what extent do you think the sweater is... - Display Order - Luxurious,Please answer the following questions. To what extent do you think the sweater is... - Display Order - High Status,Please answer the following questions. To what extent do you think the sweater is... - Display Order - Prestigious,How expensive do you think the sweater is? (Please enter number of $),Please briefly describe what you were thinking about when you indicated how luxurious/high status/prestigious and how expensive the sweater is:,How familiar are you with digital passports?,How difficult was it to imagine the sweater scenario?,Do you own any luxury products?,test,item,FL_9 - Block Randomizer - Display Order - FL_10,FL_9 - Block Randomizer - Display Order - FL_11,FL_86 - Block Randomizer - Display Order - DV(s),FL_86 - Block Randomizer - Display Order - WTP,TWIN_ID,
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""QID2""}","{""ImportId"":""QID199""}","{""ImportId"":""QID199_DO"",""choiceId"":""1""}","{""ImportId"":""QID199_DO"",""choiceId"":""2""}","{""ImportId"":""QID199_DO"",""choiceId"":""3""}","{""ImportId"":""QID199_DO"",""choiceId"":""4""}","{""ImportId"":""QID199_DO"",""choiceId"":""5""}","{""ImportId"":""QID199_DO"",""choiceId"":""6""}","{""ImportId"":""QID140_FIRST_CLICK""}","{""ImportId"":""QID140_LAST_CLICK""}","{""ImportId"":""QID140_PAGE_SUBMIT""}","{""ImportId"":""QID140_CLICK_COUNT""}","{""ImportId"":""QID142_TEXT""}","{""ImportId"":""QID176_TEXT""}","{""ImportId"":""QID188_FIRST_CLICK""}","{""ImportId"":""QID188_LAST_CLICK""}","{""ImportId"":""QID188_PAGE_SUBMIT""}","{""ImportId"":""QID188_CLICK_COUNT""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID121_2""}","{""ImportId"":""QID121_3""}","{""ImportId"":""QID121_DO"",""choiceId"":""1""}","{""ImportId"":""QID121_DO"",""choiceId"":""2""}","{""ImportId"":""QID121_DO"",""choiceId"":""3""}","{""ImportId"":""QID116_TEXT""}","{""ImportId"":""QID200_TEXT""}","{""ImportId"":""QID163""}","{""ImportId"":""QID167""}","{""ImportId"":""QID194""}","{""ImportId"":""test""}","{""ImportId"":""item""}","{""ImportId"":""FL_9_DO"",""choiceId"":""FL_10""}","{""ImportId"":""FL_9_DO"",""choiceId"":""FL_11""}","{""ImportId"":""FL_86_DO"",""choiceId"":""DV(s)""}","{""ImportId"":""FL_86_DO"",""choiceId"":""WTP""}",TWIN_ID,
6/12/2025 10:11,6/12/2025 10:16,100,270,1,6/12/2025 10:16,4,4,6,5,3,2,1,4,0,0,41.086,0,I would feel protected and warm  and fashionable ,,46.924,46.924,84.785,1,5,5,5,3,2,1,250,"Something that would be expensive for me, since I don't spend a lot of money on clothes, I would guess Its in the hundreds. ",1,5,0,1,1,,1,1,2,1,
6/12/2025 10:28,6/12/2025 10:32,100,256,1,6/12/2025 10:32,4,1,3,1,5,6,2,4,0,0,25.474,0,I would feel confident and somewhat put-together but I would be disappointed to see others wearing the same sweater and I'd wonder if I should've gotten something more unique. ,,13.86,13.86,60.066,1,6,5,5,1,2,3,180,I was wondering about fabric content and the brand when I estimated the price of the sweater. ,1,2,1,1,1,,1,1,2,2,
6/12/2025 10:15,6/12/2025 10:18,100,171,1,6/12/2025 10:18,4,1,5,6,3,1,2,4,0,0,11.446,0,,"A bit uncomfortable, but perhaps the rest of my look exceeds how they look in theirs",4,4,54.034,1,6,6,6,3,1,2,195,Something unique with a style one might get noticed wearing,5,1,0,1,0,1,,1,2,3,
6/12/2025 10:16,6/12/2025 10:18,100,110,1,6/12/2025 10:18,4,1,5,3,1,2,4,6,0,0,11.51,0,,I'd look very fly.  I'd feel dashing and debonair.,6.95,6.95,31.469,1,4,4,4,3,1,2,100,"I thought this was just a nice sweater, not a luxury iem.",1,1,0,1,0,1,,2,1,4,
6/12/2025 11:49,6/12/2025 11:58,100,577,1,6/12/2025 11:58,4,3,5,4,2,1,3,6,0,0,18.3,0,"I would have a good laugh at so many people wearing the same thing as I am. Obviously, I look great because the sweater is so popular that everyone loves it. I might make funny comments to the other sweater owners. We are in a club now. It would be an overall positive experience.",,14.66,163.981,166.88,7,6,5,5,3,2,1,100,"I thought about how, during my night out, the sweater was a popular option. This means that a lot of people were able to afford such a sweater, which means to me that it was probably one of the more affordable options in the store at that time. It might be luxury luxury-branded item and be made well, but I don't think it is high status.",1,1,1,1,1,,1,2,1,5,
6/12/2025 13:33,6/12/2025 13:37,100,205,1,6/12/2025 13:37,4,1,4,3,5,1,6,2,9.294,10.294,11.147,3,"presumably this is a sweater that i would actually like, even though it was merely the least bad of the options. i don't really care about having an NFT for my sweater or if other people are wearing it. i'm sure i would find some way to give my whole outfit the sort of femme elegance i appreciate!",,7.726,9.183,81.389,3,5,6,6,2,1,3,300,"i imagine a ""digital passport"" is the sort of thing people with more money than sense want. i think it's silly.",1,5,0,1,1,,1,2,1,10,
6/12/2025 10:50,6/12/2025 10:53,100,156,1,6/12/2025 10:53,4,3,3,6,1,5,4,2,0,0,11.411,0,,"I would feel like I am part of a group, like I belong. I would be happy and confident. It would make me feel like I fit in. I would wear my beige sweater with black pants and black dress shoes.",1.157,1.157,59.925,1,5,5,5,2,3,1,100,I was thinking about how many other people have it. If it is common it is not a luxury item and does not cost that much.,1,1,0,1,0,1,,1,2,11,
6/12/2025 10:13,6/12/2025 10:16,100,180,1,6/12/2025 10:16,4,6,1,3,5,6,2,4,0,0,12.005,0,,I would feel silly if there were many other people with the same sweater on and would probably end up taking it off,9.501,9.501,40.003,1,1,1,1,2,3,1,100,An article of clothing that is way overpriced,7,1,0,1,0,1,,1,2,15,
