StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Intro.Timer_First Click,Intro.Timer_Last Click,Intro.Timer_Page Submit,Intro.Timer_Click Count,Hotel.MCQ,Hotel.MCQ_DO_1,Hotel.MCQ_DO_2,Hotel.MCQ_DO_3,Hotel.MCQ_DO_4,Hotel.Surprised1,Hotel.Surprised2,Hotel.Heard,Hotel.Aware,Hotel.Encouter,Hotel.OftenEncouter,Hotel.Clear.Disclose,Hotel.Fair,Car.MCQ,Car.MCQ_DO_1,Car.MCQ_DO_2,Car.MCQ_DO_3,Car.MCQ_DO_4,Car.Surprised1,Car.Surprised2,Car.Heard,Car.Aware,Car.Encouter,Car.OftenEncouter,Car.Clear.Disclosed,Car.Fair,Ticket.MCQ,Ticket.MCQ_DO_1,Ticket.MCQ_DO_2,Ticket.MCQ_DO_3,Ticket.MCQ_DO_4,Ticket.Surprised1,Ticket.Surprised2,Ticket.Heard,Ticket.Aware,Ticket.Encouter,Ticket.OftenEncouter,Ticke.Clear.Disclose,Ticket.Fair,Food.MCQ,Food.MCQ_DO_1,Food.MCQ_DO_2,Food.MCQ_DO_3,Food.MCQ_DO_4,Food.Surprised1,Food.Surprised2,Food.Heard,Food.Aware,Food.Encouter,Food.OftenEncouter,Food.Clear.Disclose,Food.Fair,Apart.MCQ,Apart.MCQ_DO_1,Apart.MCQ_DO_2,Apart.MCQ_DO_3,Apart.MCQ_DO_4,Apart.Surprised1,Apart.Surprised2,Apart.Heard,Apart.Aware,Apart.Encounter,Apart.OftenEncouter,Apart.Suprise1,Apart.Fair,Health.MCQ,Health.MCQ_DO_1,Health.MCQ_DO_2,Health.MCQ_DO_3,Health.MCQ_DO_4,Health.Surprised1,Health.Surprised2 ,Health.Heard ,Health.Aware,Health.Encounter ,Health.Often.Encoun ,Health.Clear.Disclo ,Health.Fair ,CC.MCQ ,CC.MCQ _DO_1,CC.MCQ _DO_2,CC.MCQ _DO_3,CC.MCQ _DO_4,CC.Surprised1 ,CC.Surprised2 ,CC.Heard ,CC.Aware ,CC.Encounter ,CC.OftenEncounter,CC.Clear.Disclose ,CC.Fair,Hidden.Cost,Gov.Resp,Firms.Rights,Total.Part,Regulation,Support.Reg,Impact.Reg,SES,Price.Sensitivity,Hotel,correct.answer,wrong.answer1,wrong.answer2,wrong.answer3,Rental.Car,Tickets,Food,apartment,HealthCare,CreditCard,FL_143_DO_FL_4,FL_143_DO_FL_37,FL_143_DO_FL_89,FL_143_DO_FL_106,FL_143_DO_FL_120,FL_143_DO_FL_182,FL_5_DO_FL_3,FL_5_DO_FL_7,FL_5_DO_FL_32,FL_38_DO_FL_54,FL_38_DO_FL_61,FL_38_DO_FL_62,FL_38_DO_FL_181,FL_90_DO_FL_91,FL_90_DO_FL_103,FL_90_DO_FL_104,FL_107_DO_FL_108,FL_107_DO_FL_117,FL_107_DO_FL_118,FL_121_DO_FL_122,FL_121_DO_FL_131,FL_121_DO_FL_133,FL_182_DO_FL_162,FL_182_DO_FL_152,FL_182_DO_FL_183,FL_163_DO_FL_164,FL_153_DO_FL_154,FL_153_DO_FL_155,FL_184_DO_FL_185,FL_184_DO_FL_186,,TWIN_ID
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which of the following do you think best represents what [Field-Hotel] is assessed for?,Which of the following do you think best represents what [Field-Hotel] is assessed for? - Display Order - ${e://Field/correct.answer},Which of the following do you think best represents what [Field-Hotel] is assessed for? - Display Order - ${e://Field/wrong.answer1},Which of the following do you think best represents what [Field-Hotel] is assessed for? - Display Order - ${e://Field/wrong.answer2},Which of the following do you think best represents what [Field-Hotel] is assessed for? - Display Order - ${e://Field/wrong.answer3},How surprised are you by what is covered by [Field-Hotel]?,How surprised are you that hotels assess [Field-Hotel]?,Have you ever heard of [Field-Hotel] before seeing it in this survey?,To what extent were you aware of [Field-Hotel] before you saw it in this survey?,Have you ever encountered [Field-Hotel] in your interactions with hotels?,How often have you encountered [Field-Hotel] in your hotel interactions?,"In your previous experiences with hotels, how clearly was [Field-Hotel] disclosed during the purchasing process?",How fair do you think it is for hotels to charge for [Field-Hotel]?,Which of the following do you think best represents what [Field-Rental.Car] is assessed for?,Which of the following do you think best represents what [Field-Rental.Car] is assessed for? - Display Order - ${e://Field/correct.answer},Which of the following do you think best represents what [Field-Rental.Car] is assessed for? - Display Order - ${e://Field/wrong.answer1},Which of the following do you think best represents what [Field-Rental.Car] is assessed for? - Display Order - ${e://Field/wrong.answer2},Which of the following do you think best represents what [Field-Rental.Car] is assessed for? - Display Order - ${e://Field/wrong.answer3},How surprised are you by what is covered by [Field-Rental.Car]?,How surprised are you that car rentals assess [Field-Rental.Car]?,Have you ever heard of [Field-Rental.Car] before seeing it in this survey?,To what extent were you aware of [Field-Rental.Car] before you saw it in this survey?,Have you ever encountered [Field-Rental.Car] in your interactions with car rentals?,How often have you encountered [Field-Rental.Car] in your car rental interactions?,"In your previous experiences with car rentals, how clearly was [Field-Rental.Car] disclosed during the purchasing process?",How fair do you think it is for car rentals to charge for [Field-Rental.Car]?,Which of the following do you think best represents what [Field-Tickets] is assessed for?,Which of the following do you think best represents what [Field-Tickets] is assessed for? - Display Order - ${e://Field/correct.answer},Which of the following do you think best represents what [Field-Tickets] is assessed for? - Display Order - ${e://Field/wrong.answer1},Which of the following do you think best represents what [Field-Tickets] is assessed for? - Display Order - ${e://Field/wrong.answer2},Which of the following do you think best represents what [Field-Tickets] is assessed for? - Display Order - ${e://Field/wrong.answer3},How surprised are you by what is covered by [Field-Tickets]?,"How surprised are you that online ticket vendors for music concerts, sports games, etc. assess [Field-Tickets]?",Have you ever heard of [Field-Tickets] before seeing it in this survey?,To what extent were you aware of [Field-Tickets] before you saw it in this survey?,"Have you ever encountered [Field-Tickets] in your interactions with online ticket vendors for music concerts, sports games, etc.?","How often have you encountered [Field-Tickets] in your interactions with online ticket vendors for music concerts, sports games, etc.?","In your previous experiences with online ticket vendors for music concerts, sports games, etc., how clearly was [Field-Tickets] disclosed during the purchasing process?","How fair do you think it is for online ticket vendors for music concerts, sports games, etc. to charge for [Field-Tickets]?",Which of the following do you think best represents what [Field-Food] is assessed for?,Which of the following do you think best represents what [Field-Food] is assessed for? - Display Order - ${e://Field/correct.answer},Which of the following do you think best represents what [Field-Food] is assessed for? - Display Order - ${e://Field/wrong.answer1},Which of the following do you think best represents what [Field-Food] is assessed for? - Display Order - ${e://Field/wrong.answer2},Which of the following do you think best represents what [Field-Food] is assessed for? - Display Order - ${e://Field/wrong.answer3},How surprised are you by what is covered by [Field-Food]?,How surprised are you that food delivery apps assess [Field-Food]?,Have you ever heard of [Field-Food] before seeing it in this survey?,To what extent were you aware of [Field-Food] before you saw it in this survey?,Have you ever encountered [Field-Food] in your interactions with food delivery apps?,How often have you encountered [Field-Food] in your food delivery app interactions?,"In your previous experiences with food delivery apps, how clearly was [Field-Food] disclosed during the purchasing process?",How fair do you think it is for food delivery apps to charge for [Field-Food]?,Which of the following do you think best represents what [Field-apartment] is assessed for?,Which of the following do you think best represents what [Field-apartment] is assessed for? - Display Order - ${e://Field/correct.answer},Which of the following do you think best represents what [Field-apartment] is assessed for? - Display Order - ${e://Field/wrong.answer1},Which of the following do you think best represents what [Field-apartment] is assessed for? - Display Order - ${e://Field/wrong.answer2},Which of the following do you think best represents what [Field-apartment] is assessed for? - Display Order - ${e://Field/wrong.answer3},How surprised are you by what is covered by [Field-apartment]?,How surprised are you that  apartment rentals assess [Field-apartment]?,Have you ever heard of [Field-apartment] before seeing it in this survey?,To what extent were you aware of [Field-apartment] before you saw it in this survey?,Have you ever encountered [Field-apartment] in your interactions with  apartment rentals?,How often have you encountered [Field-apartment] in your  apartment rental interactions?,"In your previous experiences with  apartment rentals, how clearly was [Field-apartment] disclosed during the purchasing process?",How fair do you think it is for  apartment rentals to charge for [Field-apartment]?,Which of the following do you think best represents what [Field-HealthCare] is assessed for?,Which of the following do you think best represents what [Field-HealthCare] is assessed for? - Display Order - ${e://Field/correct.answer},Which of the following do you think best represents what [Field-HealthCare] is assessed for? - Display Order - ${e://Field/wrong.answer1},Which of the following do you think best represents what [Field-HealthCare] is assessed for? - Display Order - ${e://Field/wrong.answer2},Which of the following do you think best represents what [Field-HealthCare] is assessed for? - Display Order - ${e://Field/wrong.answer3},How surprised are you by what is covered by [Field-HealthCare]?,How surprised are you that hospitals assess [Field-HealthCare]?,Have you ever heard of [Field-HealthCare] before seeing it in this survey?,To what extent were you aware of [Field-HealthCare] before you saw it in this survey?,Have you ever encountered [Field-HealthCare] in your interactions with hospitals?,How often have you encountered [Field-HealthCare] in your hospital interactions?,"In your previous experiences with hospitals, how clearly was [Field-HealthCare] disclosed during the purchasing process?",How fair do you think it is for hospitals to charge for [Field-HealthCare]?,Which of the following do you think best represents what [Field-CreditCard] is assessed for?,Which of the following do you think best represents what [Field-CreditCard] is assessed for? - Display Order - ${e://Field/correct.answer},Which of the following do you think best represents what [Field-CreditCard] is assessed for? - Display Order - ${e://Field/wrong.answer1},Which of the following do you think best represents what [Field-CreditCard] is assessed for? - Display Order - ${e://Field/wrong.answer2},Which of the following do you think best represents what [Field-CreditCard] is assessed for? - Display Order - ${e://Field/wrong.answer3},How surprised are you by what is covered by [Field-CreditCard]?,How surprised are you that credit cards assess [Field-CreditCard]?,Have you ever heard of [Field-CreditCard] before seeing it in this survey?,To what extent were you aware of [Field-CreditCard] before you saw it in this survey?,Have you ever encountered [Field-CreditCard] in your interactions with credit cards?,How often have you encountered [Field-CreditCard] in your credit card interactions?,"In your previous experiences with credit cards, how clearly was [Field-CreditCard] disclosed during the purchasing process?",How fair do you think it is for credit cards to charge for [Field-CreditCard]?,"To what extent do you perceive fees, like the ones we asked you about, as a form of ‘hidden costs’?","Please indicate how much you agree with the following statements:



It is the responsibility of governments to protect consumers from unfair business practices.",Firms should have the right to display prices in whatever way they deem best.,Would you prefer fees to be presented as separate mandatory charges or included in the total price?,Should pricing practices be regulated by the government?,How likely would you be to support government regulation that bans firms from separating out mandatory fees from base prices?,"If pricing practices were regulated, how much impact do you think it would have on making it easier to compare products/services and choose the one that’s right for you?",Where would you place yourself on the following socioeconomic ladder?,How important is price in your purchase decisions?,Hotel,correct.answer,wrong.answer1,wrong.answer2,wrong.answer3,Rental.Car,Tickets,Food,apartment,HealthCare,CreditCard,FL_143 - Block Randomizer - Display Order - FL_4,FL_143 - Block Randomizer - Display Order - FL_37,FL_143 - Block Randomizer - Display Order - FL_89,FL_143 - Block Randomizer - Display Order - FL_106,FL_143 - Block Randomizer - Display Order - FL_120,FL_143 - Block Randomizer - Display Order - FL_182,FL_5 - Block Randomizer - Display Order - FL_3,FL_5 - Block Randomizer - Display Order - FL_7,FL_5 - Block Randomizer - Display Order - FL_32,FL_38 - Block Randomizer - Display Order - FL_54,FL_38 - Block Randomizer - Display Order - FL_61,FL_38 - Block Randomizer - Display Order - FL_62,FL_38 - Block Randomizer - Display Order - FL_181,FL_90 - Block Randomizer - Display Order - FL_91,FL_90 - Block Randomizer - Display Order - FL_103,FL_90 - Block Randomizer - Display Order - FL_104,FL_107 - Block Randomizer - Display Order - FL_108,FL_107 - Block Randomizer - Display Order - FL_117,FL_107 - Block Randomizer - Display Order - FL_118,FL_121 - Block Randomizer - Display Order - FL_122,FL_121 - Block Randomizer - Display Order - FL_131,FL_121 - Block Randomizer - Display Order - FL_133,FL_182 - Block Randomizer - Display Order - FL_162,FL_182 - Block Randomizer - Display Order - FL_152,FL_182 - Block Randomizer - Display Order - FL_183,FL_163 - Block Randomizer - Display Order - FL_164,FL_153 - Block Randomizer - Display Order - FL_154,FL_153 - Block Randomizer - Display Order - FL_155,FL_184 - Block Randomizer - Display Order - FL_185,FL_184 - Block Randomizer - Display Order - FL_186,,TWIN_ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_DO"",""choiceId"":""1""}","{""ImportId"":""QID10_DO"",""choiceId"":""2""}","{""ImportId"":""QID10_DO"",""choiceId"":""3""}","{""ImportId"":""QID10_DO"",""choiceId"":""4""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID72""}","{""ImportId"":""QID74""}","{""ImportId"":""QID78""}","{""ImportId"":""QID83""}","{""ImportId"":""QID87""}","{""ImportId"":""QID87_DO"",""choiceId"":""1""}","{""ImportId"":""QID87_DO"",""choiceId"":""2""}","{""ImportId"":""QID87_DO"",""choiceId"":""3""}","{""ImportId"":""QID87_DO"",""choiceId"":""4""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID100""}","{""ImportId"":""QID117""}","{""ImportId"":""QID117_DO"",""choiceId"":""1""}","{""ImportId"":""QID117_DO"",""choiceId"":""2""}","{""ImportId"":""QID117_DO"",""choiceId"":""3""}","{""ImportId"":""QID117_DO"",""choiceId"":""4""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID130""}","{""ImportId"":""QID132""}","{""ImportId"":""QID132_DO"",""choiceId"":""1""}","{""ImportId"":""QID132_DO"",""choiceId"":""2""}","{""ImportId"":""QID132_DO"",""choiceId"":""3""}","{""ImportId"":""QID132_DO"",""choiceId"":""4""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID145""}","{""ImportId"":""QID147""}","{""ImportId"":""QID147_DO"",""choiceId"":""1""}","{""ImportId"":""QID147_DO"",""choiceId"":""2""}","{""ImportId"":""QID147_DO"",""choiceId"":""3""}","{""ImportId"":""QID147_DO"",""choiceId"":""4""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID160""}","{""ImportId"":""QID214""}","{""ImportId"":""QID214_DO"",""choiceId"":""1""}","{""ImportId"":""QID214_DO"",""choiceId"":""2""}","{""ImportId"":""QID214_DO"",""choiceId"":""3""}","{""ImportId"":""QID214_DO"",""choiceId"":""4""}","{""ImportId"":""QID217""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223""}","{""ImportId"":""QID227""}","{""ImportId"":""QID194""}","{""ImportId"":""QID194_DO"",""choiceId"":""1""}","{""ImportId"":""QID194_DO"",""choiceId"":""2""}","{""ImportId"":""QID194_DO"",""choiceId"":""3""}","{""ImportId"":""QID194_DO"",""choiceId"":""4""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID207""}","{""ImportId"":""QID85""}","{""ImportId"":""QID168""}","{""ImportId"":""QID181""}","{""ImportId"":""QID161""}","{""ImportId"":""QID169""}","{""ImportId"":""QID175""}","{""ImportId"":""QID182""}","{""ImportId"":""QID236""}","{""ImportId"":""QID235""}","{""ImportId"":""Hotel""}","{""ImportId"":""correct.answer""}","{""ImportId"":""wrong.answer1""}","{""ImportId"":""wrong.answer2""}","{""ImportId"":""wrong.answer3""}","{""ImportId"":""Rental.Car""}","{""ImportId"":""Tickets""}","{""ImportId"":""Food""}","{""ImportId"":""apartment""}","{""ImportId"":""HealthCare""}","{""ImportId"":""CreditCard""}","{""ImportId"":""FL_143_DO"",""choiceId"":""FL_4""}","{""ImportId"":""FL_143_DO"",""choiceId"":""FL_37""}","{""ImportId"":""FL_143_DO"",""choiceId"":""FL_89""}","{""ImportId"":""FL_143_DO"",""choiceId"":""FL_106""}","{""ImportId"":""FL_143_DO"",""choiceId"":""FL_120""}","{""ImportId"":""FL_143_DO"",""choiceId"":""FL_182""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_3""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_7""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_32""}","{""ImportId"":""FL_38_DO"",""choiceId"":""FL_54""}","{""ImportId"":""FL_38_DO"",""choiceId"":""FL_61""}","{""ImportId"":""FL_38_DO"",""choiceId"":""FL_62""}","{""ImportId"":""FL_38_DO"",""choiceId"":""FL_181""}","{""ImportId"":""FL_90_DO"",""choiceId"":""FL_91""}","{""ImportId"":""FL_90_DO"",""choiceId"":""FL_103""}","{""ImportId"":""FL_90_DO"",""choiceId"":""FL_104""}","{""ImportId"":""FL_107_DO"",""choiceId"":""FL_108""}","{""ImportId"":""FL_107_DO"",""choiceId"":""FL_117""}","{""ImportId"":""FL_107_DO"",""choiceId"":""FL_118""}","{""ImportId"":""FL_121_DO"",""choiceId"":""FL_122""}","{""ImportId"":""FL_121_DO"",""choiceId"":""FL_131""}","{""ImportId"":""FL_121_DO"",""choiceId"":""FL_133""}","{""ImportId"":""FL_182_DO"",""choiceId"":""FL_162""}","{""ImportId"":""FL_182_DO"",""choiceId"":""FL_152""}","{""ImportId"":""FL_182_DO"",""choiceId"":""FL_183""}","{""ImportId"":""FL_163_DO"",""choiceId"":""FL_164""}","{""ImportId"":""FL_153_DO"",""choiceId"":""FL_154""}","{""ImportId"":""FL_153_DO"",""choiceId"":""FL_155""}","{""ImportId"":""FL_184_DO"",""choiceId"":""FL_185""}","{""ImportId"":""FL_184_DO"",""choiceId"":""FL_186""}",,TWIN_ID
4/22/2025 9:14,4/22/2025 9:22,100,508,1,4/22/2025 9:22,0,0,33.707,0,2,2,3,1,4,7,7,0,,,,,1,1,4,3,2,1,1,1,1,7,1,7,7,4,1,2,4,1,3,1,1,1,7,0,,,1,4,3,1,2,4,5,7,0,,,,,1,1,4,2,3,1,1,1,1,7,1,4,3,3,,,,,,,,,,,,,,1,2,3,1,4,1,1,1,7,0,,,4,7,7,4,7,7,7,7,5,7,a destination fee,A fee to offset the impact of regulations on firms.,A fee to support the operations and maintenance of customer support services.,A tax imposed to comply with state regulations related to the provided service.,A fee that covers updates to terms and conditions/legal fees.,a vehicle licensing fee,a facility charge,a regulatory response fee,an amenity fee,,a foreign transaction fee,2,4,5,6,1,3,,1,,1,,,,,,1,,,1,,,1,,,1,,,,1,,,1
4/22/2025 9:20,4/22/2025 9:29,100,577,1,4/22/2025 9:29,0,0,43.144,0,3,3,1,4,2,7,5,0,,,,,2,1,3,2,4,1,4,6,0,,,,,2,1,3,2,1,4,1,1,1,7,1,7,1,2,3,3,2,1,4,7,1,1,1,1,7,2,4,1,1,4,2,3,1,1,1,6,0,,,1,,,,,,,,,,,,,,1,3,2,4,1,1,1,0,,,,,1,7,7,1,1,7,2,5,4,7,a restocking fee,A percentage fee that covers debt transfers from one credit card to another.,A fee applied for moving funds between accounts.,A charge for transferring loans from one account to another.,A fee associated with changing banks and transferring account balance to the new bank.,a frequent traveler program surcharge/excise tax,an order processing fee,an express fee,a move-in fee,,a balance transfer fee,3,1,2,4,5,6,,,1,,,,1,,1,,,1,,,1,,,,1,,,,,1,,2
4/22/2025 10:05,4/22/2025 10:12,100,421,1,4/22/2025 10:12,0,0,17.794,0,2,4,1,3,2,1,1,1,3,0,,,3,2,4,3,1,2,5,1,0,,,,,1,1,1,3,2,4,3,1,1,6,1,4,6,1,3,2,3,1,4,5,2,1,5,1,2,6,7,1,4,3,1,2,3,3,0,,,,,3,,,,,,,,,,,,,,1,4,2,3,1,1,1,1,7,1,4,6,7,6,6,3,1,4,7,7,5,6,a restocking fee,A fee charged by hotels for using the mini-fridge to store personal items.,"A fee for replenishing complimentary items in the room, such as water bottles and snacks.",A fee for consuming items from the mini-fridge.,A charge for requesting that additional items be stocked in the mini-fridge.,a vehicle licensing fee,a facility charge,an express fee,a valet trash fee,,a foreign transaction fee,6,5,3,2,1,4,,,1,1,,,,,,1,,1,,1,,,,,1,,,,1,,,3
4/22/2025 9:28,4/22/2025 9:35,100,420,1,4/22/2025 9:35,0,0,61.386,0,2,4,2,1,3,4,7,0,,,,,1,4,1,4,3,2,7,7,0,,,,,1,1,2,4,3,1,4,4,1,7,1,7,1,1,1,3,2,4,1,7,7,0,,,,,1,1,2,1,3,4,7,7,0,,,,,1,,,,,,,,,,,,,,2,1,2,4,3,7,7,0,,,,,1,7,7,1,1,7,1,7,5,6,a destination fee,"A non-refundable fee to cover move-in and administrative costs, such as record updates, lock changes, and unit preparation.",A deposit to cover potential damage during the move-in process.,A fee for reserving the building’s elevator or loading dock on moving day.,A fee for moves occurring outside standard business hours.,a frequent traveler program surcharge/excise tax,a delivery fee,a regulatory response fee,a move-in fee,,a balance transfer fee,1,3,5,2,6,4,,1,,,,,1,1,,,,,1,,1,,,,1,,,,,1,,4
4/22/2025 9:14,4/22/2025 9:35,100,1293,1,4/22/2025 9:35,0,0,20.112,0,2,2,1,4,3,6,7,0,,,,,2,1,4,3,1,2,1,4,0,,,,,2,1,4,1,3,2,1,1,1,7,1,7,7,1,1,1,2,3,4,1,1,1,7,1,5,7,4,1,1,2,4,3,1,1,1,7,0,,,4,1,3,1,2,4,1,1,1,7,1,5,4,3,,,,,,,,,,,,,,4,6,4,7,4,1,5,5,7,a destination fee,A fee to cover costs associated with processing and completing ticket purchases.,A fee for handling last-minute ticket purchases.,A fee for creating an account with the ticketing platform.,A fee only for modifying or canceling an existing ticket order.,a vehicle licensing fee,an order processing fee,a service fee,an amenity fee,a hospital facility fee,,4,1,6,5,3,2,,1,,1,,,,,1,,1,,,,,1,1,,,1,,,,,,5
4/22/2025 10:20,4/22/2025 10:26,100,377,1,4/22/2025 10:26,0,0,11.025,0,2,2,3,1,4,6,3,1,5,0,,,1,1,3,4,1,2,2,2,0,,,,,1,2,3,2,1,4,2,5,1,5,1,6,5,1,1,4,1,2,3,1,5,0,,,,,1,1,1,2,3,4,2,4,1,4,0,,,1,2,1,2,3,4,3,2,1,4,1,5,2,1,,,,,,,,,,,,,,7,5,1,6,5,5,6,6,6,a restocking fee,"A recurring fee covers additional services and amenities, such as pools, gyms, parking, or other building facilities.","A fee for damaging shared amenities, such as pool furniture or gym equipment.","A fee for hosting events in communal spaces, such as party rooms or lounges.","A per-use fee for accessing amenities like the pool, gym, or parking facilities.",a concession recovery fee,a facility charge,a regulatory response fee,an amenity fee,a hospital facility fee,,4,5,1,3,6,2,,,1,,,1,,,,1,,,1,,,1,1,,,1,,,,,,9
4/22/2025 9:20,4/22/2025 9:26,100,365,1,4/22/2025 9:26,0,0,22.192,0,2,4,2,1,3,6,1,1,7,1,6,4,1,4,3,1,4,2,7,7,0,,,,,1,1,2,4,1,3,1,1,1,7,1,7,7,1,1,4,2,3,1,1,1,1,7,1,7,6,1,1,1,2,3,4,1,1,1,7,1,4,4,1,,,,,,,,,,,,,,1,2,3,4,1,1,1,1,7,1,7,7,7,7,7,1,4,7,7,7,4,7,a destination fee,"A mandatory fee for a group of services, such as pool use, gym access, towel services, Wi-Fi, newspapers, shuttle service, daily parking, etc.","An additional tax mandated by local government authorities, calculated based on the hotel's geographic location and local regulatory requirements.","A discretionary fee that guests may opt to pay for exclusive access to immersive local experiences, guided tours, and excursions.",An upgrade fee for premium hotel services applied to reservations at popular destinations to provide guests with an enhanced experience.,a concession recovery fee,an order processing fee,a service fee,a move-in fee,,a foreign transaction fee,6,5,4,1,3,2,,1,,,,1,,,1,,1,,,,1,,,,1,,,,1,,,11
4/22/2025 9:14,4/22/2025 9:19,100,324,1,4/22/2025 9:19,0,0,13.692,0,2,1,3,2,4,5,6,0,,,,,2,4,4,1,3,2,6,6,0,,,,,1,1,4,1,3,2,1,2,1,6,1,6,6,2,2,3,1,2,4,6,6,0,,,,,2,2,1,2,4,3,5,5,0,,,,,3,,,,,,,,,,,,,,1,3,1,2,4,2,2,1,6,1,2,6,6,7,7,1,1,7,7,6,6,6,a restocking fee,"A fee for accumulating miles or points through credit card, airline, or other rewards programs.",A tax applied to fund rewards and discount programs.,A fee to access certain services or programs.,A tax imposed to help cover the maintenance of roads and bridges impacted by frequent vehicle usage.,a frequent traveler program surcharge/excise tax,a delivery fee,a regulatory response fee,a valet trash fee,,a foreign transaction fee,4,6,2,5,1,3,,,1,,,,1,1,,,,,1,1,,,,,1,,,,1,,,12
