StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,consent non_twins,consent twins,Q57,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,attitude_1,argument,new_att_1,i1_1,i1_2,i2_1,i2_2,i3_1,i3_2,a1_1,a2_1,a3_1,side1,side2,side3,side 2,absurd_1,absurd_2,absurd_3,s_1,s_2,s_3,FL_42_DO_FL_29,FL_42_DO_FL_43,FL_6_DO_FL_7,FL_6_DO_FL_8,FL_15_DO_FL_16,FL_15_DO_FL_17,FL_12_DO_FL_13,FL_12_DO_FL_14,FL_50_DO_FL_51,FL_50_DO_FL_52,FL_59_DO_FL_60,FL_59_DO_FL_61,FL_56_DO_FL_57,FL_56_DO_FL_58,Imagine1_DO_i1_2,Imagine1_DO_Q9,Imagine1_DO_Q8,Imagine1_DO_i1_1,Imagine2_DO_i2_2,Imagine2_DO_i2_1,Imagine2_DO_Q12,Imagine2_DO_Q11,Imagine3_DO_i3_1,Imagine3_DO_Q18,Imagine3_DO_Q17,Imagine3_DO_i3_2,TWIN_ID,
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,"CONSENT TO PARTICIPATE

The project is titled “Technology and Psychological Processes” (Protocol Number: AAAS7725) and is being run by Professor Melanie Brucks at Columbia University.

DESCRIPTION: You are invited to participate in a research study about technology. You will be asked to partake in various tasks and to provide your perceptions and judgments regarding the experience. You may also be asked various questions about yourself. You may be asked to interact with another person during this task. Any information you provide will remain confidential and cannot be shared with any other parties. You may be asked to complete the study using video or audio recording. If video recording will be used during the study, the study will inform you about it as well as ask for your permission. These recordings will be anonymized (i.e., not associated with your name) and maybe distributed to outside observers for evaluation.

TIME INVOLVEMENT: Your participation will take approximately 4 minutes.

RISKS AND BENEFITS: The risks associated with this study are minimal. This study poses no physical risks beyond those involved in normal, daily life. There is a risk of breach of confidentiality because we are collecting your indirect identifier (i.e., your Prolific or MTurk ID). Your decision whether or not to participate in this study will not affect your employment or grades in school. The benefits of which may reasonably be expected to result from this study are learning about psychological topics and methods and gaining understanding about your own mental processes. We cannot and do not guarantee or promise that you will receive any benefits from this study.

SUBJECT'S RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. If videos are obtained, they will be stored on password-protected laboratory computers for up to five years after the publication of this research. Your individual privacy will be maintained in all published and written data resulting from the study. Identifiers might be removed from the identifiable private information and, after such removal, the information could be used for future research studies without additional consent from the subject.

CONFIDENTIALITY: The following people and/or agencies will be able to look at and copy your research records: - The investigator, study staff and other professionals who may be evaluating the study; - Authorities from Columbia University, including the Institutional Review Board (IRB'). An IRB is a committee organized to protect the rights and welfare of people involved in research. - The Office of Human Research Protections ('OHRP') 

CONTACT INFORMATION: If you have any questions about this study, you can contact mb4598@columbia.edu. Please write down this contact information or print this consent document before proceeding to the study so that you can contact the researcher should any questions or concerns arise during your participation in the study. Moreover, if at any time you have specific questions or concerns about your rights or welfare as a study participant, contact the Columbia University Morningside Human Research Protection Office (HRPO) at 212-305-5883 or email askirb@columbia.edu.

By checking “I agree” below, you acknowledge that you understand the procedures described above and you agree to participate in this study. Thank you for your participation.","CONSENT TO PARTICIPATE

The project is titled “Technology and Psychological Processes” (Protocol Number: AAAS7725) and is being run by Professor Melanie Brucks at Columbia University.

DESCRIPTION: You were invited to participate in this study because you participated in a previous four-wave study (IRB-AAAV5832) which asked you questions about your personality and preferences. The present study is a ""substudy"" in a ""mega-study."" The purpose of this mega-study is to test the validity of using large language models to predict people's future answers based on their answers to past surveys. People colloquially refer to this prediction task as creating a ""digital twin"" of the participant. The mega-study consists of 15-20 substudies. The new data from each substudy will be provided to the investigators of AAAV5832, to complement the data available for each participant and improve the accuracy of their ""digital twin."" Note that the use of large language models will be restricted to the OpenAI platform approved by Columbia University. You may be asked to interact with another person during this task. Any information you provide will remain confidential and cannot be shared with any other parties. You may be asked to complete the study using video or audio recording. If video recording will be used during the study, the study will inform you about it as well as ask for your permission. These recordings will be anonymized (i.e., not associated with your name) and maybe distributed to outside observers for evaluation.

TIME INVOLVEMENT: Your participation will take approximately 4 minutes. 

RISKS AND BENEFITS: The risks associated with this study are minimal. This study poses no physical risks beyond those involved in normal, daily life. There is a risk of breach of confidentiality because we are collecting your indirect identifier (i.e., your Prolific or MTurk ID). Your decision whether or not to participate in this study will not affect your employment or grades in school. The benefits of which may reasonably be expected to result from this study are learning about psychological topics and methods and gaining understanding about your own mental processes. We cannot and do not guarantee or promise that you will receive any benefits from this study. 

SUBJECT'S RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to IRB-AAAS7725 withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. If videos are obtained, they will be stored on password-protected laboratory computers for up to five years after the publication of this research. Your individual privacy will be maintained in all published and written data resulting from the study. Identifiers might be removed from the identifiable private information and, after such removal, the information could be used for future research studies without additional consent from the subject. 

CONFIDENTIALITY: The following people and/or agencies will be able to look at and copy your research records: - The investigator, study staff and other professionals who may be evaluating the study; - Authorities from Columbia University, including the Institutional Review Board (IRB'). An IRB is a committee organized to protect the rights and welfare of people involved in research. - The Office of Human Research Protections ('OHRP')

CONTACT INFORMATION: If you have any questions about this study, you can contact mb4598@columbia.edu. Please write down this contact information or print this consent document before proceeding to the study so that you can contact the researcher should any questions or concerns arise during your participation in the study. Moreover, if at any time you have specific questions or concerns about your rights or welfare as a study participant, contact the Columbia University Morningside Human Research Protection Office (HRPO) at 212-305-5883 or email askirb@columbia.edu By checking “I agree” below, you acknowledge that you understand the procedures described above and you agree to participate in this study. Thank you for your participation.","This is an anonymous survey consisting of multiple questions. Several questions are open-ended where you need to type a few sentences. Some Prolific workers do not like answering open-ended questions and tend to quit half way or use AI to assist them when responding. Such practices would greatly compromise the data quality of our research. Thus, we ask that you please make sure that you don't mind writing and will not use AI before taking the survey. It is totally ok to just close out of the survey if you are not interested in participating.



If you agree with the above and would like to proceed, please type in the below box ""I will not use AI to answer this survey""",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"To what extent do you agree with the proposition, ""America should have a universal basic income system""?",One compelling argument [Field-side3] universal basic income is...,"Now, after considering the alternate point of view, we would like to ask you again:



To what extent do you agree with the proposition, ""America should have a universal basic income system""?",How confident are you in your ability to manage conflict on this team?,How much do you trust your team?,How anxious do you feel?,How confident are you in your ability to solve this puzzle?,How certain are you that this is serious?,How likely are you to seek help?,How content are you with your existence?,How powerful do you feel?,How authentic do you feel?,side1,side2,side3,side 2,absurd_1,absurd_2,absurd_3,s_1,s_2,s_3,FL_42 - Block Randomizer - Display Order - FL_29,FL_42 - Block Randomizer - Display Order - FL_43,FL_6 - Block Randomizer - Display Order - FL_7,FL_6 - Block Randomizer - Display Order - FL_8,FL_15 - Block Randomizer - Display Order - FL_16,FL_15 - Block Randomizer - Display Order - FL_17,FL_12 - Block Randomizer - Display Order - FL_13,FL_12 - Block Randomizer - Display Order - FL_14,FL_50 - Block Randomizer - Display Order - FL_51,FL_50 - Block Randomizer - Display Order - FL_52,FL_59 - Block Randomizer - Display Order - FL_60,FL_59 - Block Randomizer - Display Order - FL_61,FL_56 - Block Randomizer - Display Order - FL_57,FL_56 - Block Randomizer - Display Order - FL_58,Imagine 1 - Display Order - i1_2,Imagine 1 - Display Order - Q9,Imagine 1 - Display Order - Q8,Imagine 1 - Display Order - i1_1,Imagine 2 - Display Order - i2_2,Imagine 2 - Display Order - i2_1,Imagine 2 - Display Order - Q12,Imagine 2 - Display Order - Q11,Imagine 3 - Display Order - i3_1,Imagine 3 - Display Order - Q18,Imagine 3 - Display Order - Q17,Imagine 3 - Display Order - i3_2,TWIN_ID,
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""QID35""}","{""ImportId"":""QID34""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID4_FIRST_CLICK""}","{""ImportId"":""QID4_LAST_CLICK""}","{""ImportId"":""QID4_PAGE_SUBMIT""}","{""ImportId"":""QID4_CLICK_COUNT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID16""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24""}","{""ImportId"":""QID27""}","{""ImportId"":""QID30""}","{""ImportId"":""side1""}","{""ImportId"":""side2""}","{""ImportId"":""side3""}","{""ImportId"":""side 2""}","{""ImportId"":""absurd_1""}","{""ImportId"":""absurd_2""}","{""ImportId"":""absurd_3""}","{""ImportId"":""s_1""}","{""ImportId"":""s_2""}","{""ImportId"":""s_3""}","{""ImportId"":""FL_42_DO"",""choiceId"":""FL_29""}","{""ImportId"":""FL_42_DO"",""choiceId"":""FL_43""}","{""ImportId"":""FL_6_DO"",""choiceId"":""FL_7""}","{""ImportId"":""FL_6_DO"",""choiceId"":""FL_8""}","{""ImportId"":""FL_15_DO"",""choiceId"":""FL_16""}","{""ImportId"":""FL_15_DO"",""choiceId"":""FL_17""}","{""ImportId"":""FL_12_DO"",""choiceId"":""FL_13""}","{""ImportId"":""FL_12_DO"",""choiceId"":""FL_14""}","{""ImportId"":""FL_50_DO"",""choiceId"":""FL_51""}","{""ImportId"":""FL_50_DO"",""choiceId"":""FL_52""}","{""ImportId"":""FL_59_DO"",""choiceId"":""FL_60""}","{""ImportId"":""FL_59_DO"",""choiceId"":""FL_61""}","{""ImportId"":""FL_56_DO"",""choiceId"":""FL_57""}","{""ImportId"":""FL_56_DO"",""choiceId"":""FL_58""}","{""ImportId"":""BL_cMZntkAHYaNDzEy_DO"",""choiceId"":""i1_2""}","{""ImportId"":""BL_cMZntkAHYaNDzEy_DO"",""choiceId"":""Q9""}","{""ImportId"":""BL_cMZntkAHYaNDzEy_DO"",""choiceId"":""Q8""}","{""ImportId"":""BL_cMZntkAHYaNDzEy_DO"",""choiceId"":""i1_1""}","{""ImportId"":""BL_bJCKlj1xzXLsWUe_DO"",""choiceId"":""i2_2""}","{""ImportId"":""BL_bJCKlj1xzXLsWUe_DO"",""choiceId"":""i2_1""}","{""ImportId"":""BL_bJCKlj1xzXLsWUe_DO"",""choiceId"":""Q12""}","{""ImportId"":""BL_bJCKlj1xzXLsWUe_DO"",""choiceId"":""Q11""}","{""ImportId"":""BL_3RfCDTdyXhIpQJE_DO"",""choiceId"":""i3_1""}","{""ImportId"":""BL_3RfCDTdyXhIpQJE_DO"",""choiceId"":""Q18""}","{""ImportId"":""BL_3RfCDTdyXhIpQJE_DO"",""choiceId"":""Q17""}","{""ImportId"":""BL_3RfCDTdyXhIpQJE_DO"",""choiceId"":""i3_2""}",TWIN_ID,
6/4/2025 16:40,6/4/2025 16:45,100,304,1,6/4/2025 16:45,4,,I will not use AI to answer this survey. ,0,0,26.772,0,100,People who don't need it will take the UBI to enhance their lifestyle and there will be fraud and waste.  It's impossible to give everyone UBI and the cost of the platform/infrastructure to handle this would cost a fortune and take too many people to organize.  If people wanted more income they would go out and get jobs. ,100,6,6,6,5,1,1,5,7,6,a bad idea,opposes,against,,A,A,B,test,control,test,,,1,,1,,,1,,1,1,,,1,3,,1,2,2,3,1,,3,,1,2,2,
6/4/2025 18:10,6/4/2025 18:14,100,220,1,6/4/2025 18:14,4,,I will not use AI to answer this survey,0,0,5.953,0,28,I guess for the very lowest income people it would be a safety net.  But there has to be some sort of requirements,25,5,6,1,6,2,5,6,5,5,a good idea,supports,in support,,B,A,A,test,test,test,,,,1,1,,1,,,1,,1,,1,2,,1,3,3,2,,1,2,,1,3,3,
6/4/2025 17:21,6/4/2025 17:29,100,467,1,6/4/2025 17:29,4,,I will not use AI to answer this survey,0,0,279.33,0,100,A small number of people within the populous will take advantage of it.  A small number of people within the populous will waste the money.,100,7,7,1,7,4,7,7,4,7,a bad idea,opposes,against,,A,A,B,control,control,test,,,1,,1,,,1,1,,1,,,1,2,1,,3,2,3,1,,3,,1,2,4,
6/5/2025 11:14,6/5/2025 11:28,100,799,1,6/5/2025 11:28,4,,I will not use AI to answer this survey,0,0,421.852,0,84,"The only thing I can think of is that people who don't ""need"" it would get it, and people who need more would still be in a bad situation. There are people who need significantly more help than most, for whatever reason.",81,5,5,4,5,6,1,1,3,7,a bad idea,opposes,against,,A,B,B,control,control,control,,,1,,,1,,1,1,,1,,1,,3,1,,2,3,2,1,,3,1,,2,5,
6/4/2025 17:09,6/4/2025 17:15,100,374,1,6/4/2025 17:15,4,,I will not use AI to answer this survey,0,0,22.232,0,100,"Because some people don't like to help other people so if universal basic income was implemented in the USA those people would have absolute meltdowns and be all over television complaining about it. Throughout history whenever people have tried to help other people (feed them, house them, protect them) there are people who disagree and universal basic income will make them unhappy. Very unhappy,",100,6,4,1,6,2,4,7,6,7,a bad idea,opposes,against,,A,A,B,control,control,test,,,1,,1,,,1,1,,1,,,1,2,1,,3,2,3,1,,2,,1,3,6,
6/5/2025 8:57,6/5/2025 9:00,100,169,1,6/5/2025 9:00,4,,I will not use AI to answer this survey,0,0,10.233,0,63,UBI would make a lot of citizens complacent and lazy. This would result in a less engaged workforce and tax base. It would also incentivize living off the UBI and not pursuing higher education or better jobs. A functioning governemnt needs citizens working and productive. ,62,4,5,2,6,2,2,4,3,2,a bad idea,opposes,against,,A,A,A,test,control,test,,,1,,1,,1,,,1,1,,,1,3,,1,2,2,3,1,,3,,1,2,9,
6/4/2025 16:49,6/4/2025 16:52,100,163,1,6/4/2025 16:52,4,,I will not use AI to answer this survey,0,0,8.859,0,100,"One can imagine that people wouldn't want to work if they had their basic needs taken care of, and thus necessary tasks would go undone. This could cause critical infrastructure to fail.",100,2,3,6,2,2,2,1,5,1,a bad idea,opposes,against,,B,A,A,test,test,control,,,,1,1,,1,,,1,,1,1,,2,,1,3,2,3,,1,2,1,,3,10,
6/5/2025 8:35,6/5/2025 8:38,100,176,1,6/5/2025 8:38,4,,I will not use AI to answer this survey,0,0,7.876,0,100,Universal basic income will make people lazy. It will cause people to depend on the government for everything and not do any work at all. This income will make it where nothing is made or improved in our country every again.,100,5,4,5,2,1,1,1,1,7,a bad idea,opposes,against,,B,B,A,test,test,test,,,,1,,1,1,,,1,,1,,1,2,,1,3,3,2,,1,2,,1,3,11,
6/4/2025 19:17,6/4/2025 19:20,100,190,1,6/4/2025 19:20,4,,I will not use AI to answer this survey.  ,0,0,9.209,0,70,"I think the universal basic income is a bad idea because it's going to raise taxes for everyone.  When taxes get raised, prices get raised at stores.  The amount of money that goods and services go up my offset the benefits of a universal basic income, or make it so small that's it just a trivial amount.  ",70,3,3,2,6,1,1,3,5,2,a bad idea,opposes,against,,B,A,B,test,control,test,,,,1,1,,,1,,1,1,,,1,3,,1,2,2,3,1,,2,,1,3,13,
6/5/2025 9:45,6/5/2025 9:52,100,461,1,6/5/2025 9:52,4,,I will not use AI to answer this survey,0,0,16.065,0,70,"Even if everyone had a basic income, I think that companies and landlords might just raise the price on everything, so that people would still be in poverty. I think with the way the rich are so greedy, they would probably think they could charge more if there was a basic income, so that the effect of the basic income would be null and void. I think a better policy would be to put a cap on the price of rent/housing and things that are necessary for life, like food and utilities. Or make a policy that would cap the amount of profit a company could make on necessities. ",60,2,4,2,3,2,2,5,1,7,a bad idea,opposes,against,,B,B,B,test,test,test,,,,1,,1,,1,,1,,1,,1,3,,1,2,2,3,,1,2,,1,3,14,
6/4/2025 16:40,6/4/2025 16:44,100,281,1,6/4/2025 16:44,4,,I will not use AI to answer this survey,0,0,23.292,0,70,"It may be a bad idea because people would likely at some point try and find a way to manipulate it. Currently, there are most likely many individuals that are manipulating federal assistance.",40,2,5,3,6,2,5,5,7,5,a bad idea,opposes,against,,B,B,A,control,control,control,,,,1,,1,1,,1,,1,,1,,2,1,,3,2,3,1,,3,1,,2,15,
6/4/2025 17:13,6/4/2025 17:17,100,216,1,6/4/2025 17:17,4,,I will not use AI to answer this survey,0,0,6.406,0,11,"Money is just a piece of paper and if not having pieces of paper means not having shelter, there is something fundamentally wrong with that.",8,5,5,3,4,2,2,4,4,2,a good idea,supports,in support,,A,B,A,test,control,test,,,1,,,1,1,,,1,1,,,1,3,,1,2,2,3,1,,2,,1,3,16,
6/4/2025 16:46,6/4/2025 16:48,100,157,1,6/4/2025 16:48,4,,I will not use AI to answer this survey,0,0,16.789,0,100,"It might foster people who just sit around and play video games all day, not involving themselves with gainful work, or society. Persons wouldn't NEED to really work, so they could just Slide.",100,5,6,3,4,3,1,3,2,5,a bad idea,opposes,against,,A,B,B,control,control,control,,,1,,,1,,1,1,,1,,1,,3,1,,2,3,2,1,,3,1,,2,18,
6/4/2025 22:17,6/4/2025 22:23,100,380,1,6/4/2025 22:23,4,,I will not use AI to answer this survey,0,0,29.669,0,10,"With a UBI perhaps there would be less crime because people had enough to cover food and housing.  The poor would not need to commit crimes to get money for food, etc.",10,4,4,3,6,3,3,6,6,5,a good idea,supports,in support,,A,B,B,test,control,control,,,1,,,1,,1,,1,1,,1,,2,,1,3,2,3,1,,3,1,,2,20,
6/5/2025 6:11,6/5/2025 6:15,100,234,1,6/5/2025 6:15,4,,I will not use AI to answer this survey,0,0,22.74,0,75,UBI is a bad idea because people will try to cheat the system and get more UBI per month. That will put another strain on the US financial system causing the deficit to increase further.,80,6,6,5,4,2,2,1,2,6,a bad idea,opposes,against,,B,A,A,control,control,control,,,,1,1,,1,,1,,1,,1,,3,1,,2,2,3,1,,2,1,,3,21,
