StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,SETTYPE,DWELOWN_GSS,BUS_CPS,SCHENR_CPS,PUWC_CPS,V1-V2_ATUS,HEALTH_GSS,POORSERV_GSS,WWWHR_GSS,HLTHWEB_GSS,SATFIN_GSS,JOBLOSE_GSS,TRUST_GSS,CONBUS_GSS,CONPRESS_GSS,ATTENTION_CHECK,FAMSUFFR_GSS,IMMJOBS_GSS,AFFRMACT_GSS,GOVT_RESPONSIBILITY,HLTHTAX,GETAHEAD,FAIR,FAEDUC,CONCERNCO_PEW,TIKTOK,VOTE20_GSS,PRES20_GSS,TWIN_ID
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Which of the following best describes the area where you currently live?,"Currently, do you (or does your family) own your home, pay rent, or something else?",Do you or anyone in your household have a business or a farm?,"Last week, were you enrolled in a high school, college, or university?
(Either as a full time or part time student)","Last week, did you do ANY work for either pay or profit?","Now we’d like to ask you about volunteer activities, that is, activities for which people are not paid, except perhaps expenses. These also include activities people do for schools, or youth, or religious organizations.
Yesterday, did you do any volunteer activities for these or similar organizations?","Would you say your own health, in general, is excellent, good, fair, or poor?",In your day-to-day life how often do you receive poorer service than other people at restaurants or stores?,"Not counting e-mail, about how many HOURS PER WEEK do you use the Web? (Include time you spend visiting regular web sites and time spent using interactive Internet services like social media, streaming services, chat rooms, online conferencing)","During the past 12 months, how often, if at all, did you use the internet on any device (such as computers, tablets and smartphones) to look for health or medical information for yourself or someone else?","We are interested in how people are getting along financially these days. So far as you and your family are concerned, how satisfied are you with your present financial situation?","Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off?","Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?","As far as the people running the MAJOR COMPANIES in this country are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?","As far as the people running the PRESS in this country are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?","To ensure you're paying attention, please select “Don’t know” as your answer to this question:","To what extent do you agree or disagree with the following statement?
All in all, family life suffers when the woman has a full-time job.","There are different opinions about immigrants from other countries living in America. By ""immigrants"" we mean people who come to settle in America.


How much do you agree or disagree with the following statement?

Immigrants take jobs away from people who were born in America.","Some people say that because of past discrimination, Black people should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of Black people is wrong because it discriminates against Whites. What about your opinion: are you for or against preferential hiring and promotion of Black people?","We would like to talk with you about issues some people tell us are important. Some people think that the government in Washington should do everything possible to improve the standard of living of all poor Americans; they are at Point 1 on the scale below. Other people think it is not the government's responsibility, and that each person should take care of himself; they are at Point 5.

Where would you place yourself on this scale, or haven't you made up your mind on this?",How willing would you be to pay higher taxes to improve the level of health care for all people in the United States? Would you be ...,Some people say that people get ahead by their own hard work; others say that lucky breaks or help from other people are more important. Which do you think is most important?,"Do you think most people would try to take advantage of you if they got a chance, or would they
try to be fair?",What is the highest level of education your father completed?,How concerned are you about how companies are using the data they collect online about you?,"There are worries that the Chinese government could access personal information from American users of TikTok, a social media platform owned by the Chinese company ByteDance. To address these concerns, the U.S. government has recently passed a new law. It requires ByteDance to sell its part of TikTok within a year or else the platform might be banned in the U.S.

Do you agree or disagree with the decision to potentially ban TikTok in the U.S. if its Chinese owner does not sell its stake within the next year?","In 2020, you remember that Joe Biden ran for President on the Democratic ticket against Donald Trump for the Republicans. Do you remember for sure whether or not you voted in that election?","In 2020, Did you vote for Joe Biden or Donald Trump?",TWIN_ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}",TWIN_ID
6/27/2025 12:03,6/27/2025 12:07,100,256,1,6/27/2025 12:07,3,1,2,2,1,2,3,4,2,3,3,3,2,3,3,3,2,2,4,2,4,2,2,3,2,1,1,2,1
6/27/2025 11:58,6/27/2025 12:05,100,431,1,6/27/2025 12:05,2,1,2,2,3,2,4,5,50,5,3,4,3,2,3,3,3,5,2,1,2,3,2,3,3,4,1,1,2
6/27/2025 15:53,6/27/2025 15:59,100,320,1,6/27/2025 15:59,4,1,2,2,1,3,1,5,20,1,2,3,1,2,2,3,4,4,3,3,3,1,2,2,1,5,1,1,3
6/27/2025 11:53,6/27/2025 11:57,100,248,1,6/27/2025 11:57,5,2,1,2,1,2,2,6,20,5,1,4,1,2,1,3,5,5,1,1,1,3,3,6,1,6,1,1,4
6/27/2025 11:51,6/27/2025 11:58,100,431,1,6/27/2025 11:58,5,1,2,2,2,2,2,6,28,5,2,5,2,2,4,3,3,4,4,3,2,1,1,3,2,4,2,4,5
6/28/2025 15:59,6/28/2025 16:06,100,441,1,6/28/2025 16:06,2,2,1,2,1,2,3,5,50,5,2,3,2,3,2,3,4,4,3,1,2,2,3,4,3,5,1,1,6
6/27/2025 13:38,6/27/2025 13:43,100,284,1,6/27/2025 13:43,2,2,2,2,1,2,3,4,80,5,3,4,3,3,3,3,5,5,1,1,1,3,2,3,1,5,4,1,10
6/27/2025 13:39,6/27/2025 13:44,100,299,1,6/27/2025 13:44,5,1,2,2,1,2,3,5,7,4,2,5,3,3,3,3,1,1,4,3,2,3,1,1,3,1,1,2,11
6/27/2025 12:43,6/27/2025 12:46,100,184,1,6/27/2025 12:46,5,1,2,2,1,2,2,5,15,4,1,4,2,2,1,3,5,5,2,2,1,1,1,2,2,5,1,3,13
6/27/2025 15:08,6/27/2025 15:11,100,211,1,6/27/2025 15:11,4,1,2,2,4,2,2,6,40,5,1,4,1,3,1,3,5,5,1,1,1,3,3,2,3,1,1,1,14
6/27/2025 11:58,6/27/2025 12:03,100,331,1,6/27/2025 12:03,4,1,1,2,2,2,2,4,40,1,2,4,2,3,3,3,4,2,5,3,5,1,1,4,1,1,2,4,15
6/27/2025 11:56,6/27/2025 12:00,100,258,1,6/27/2025 12:00,3,1,2,2,1,2,2,4,21,5,3,4,3,3,3,3,3,4,3,1,2,2,3,6,1,5,1,3,16
6/27/2025 11:55,6/27/2025 11:59,100,218,1,6/27/2025 11:59,2,1,2,2,1,2,2,2,72,1,3,4,1,3,1,3,5,1,1,1,2,3,2,6,1,1,1,1,17
6/27/2025 12:10,6/27/2025 12:13,100,204,1,6/27/2025 12:13,5,1,2,2,1,1,3,4,35,5,3,3,1,3,1,3,4,5,1,1,1,3,3,5,2,2,1,1,18
6/27/2025 14:17,6/27/2025 14:27,100,574,1,6/27/2025 14:27,4,1,2,2,1,2,2,5,30,5,2,4,2,2,3,3,4,4,3,4,2,1,2,2,2,2,1,2,20
