StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1_Browser,Q1_Version,Q1_Operating System,Q1_Resolution,Q11_1,Q125,Q67,Q121,Q122,Q138_1,Q140_1,Q142_1,Q2_1,Q2_1,Group,Create New Field or Choose From Dropdown...,FL_4_DO_FL_28,FL_4_DO_FL_29,FL_4_DO_FL_30,FL_4_DO_FL_31,FL_4_DO_FL_32,FL_4_DO_FL_34,TWIN_ID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,"Based on the scenario described above, ... - ... do you perceive your privacy to be violated?",How much time per day do you spend online on average?,How often do you delete your browser cookies?,Do you use an ad blocker?,Do you use anti-tracking software?,"Based on the scenario described above, ... - ... do you perceive your privacy to be violated?","Based on the scenario described above, ... - ... do you perceive your privacy to be violated?","Based on the scenario described above, ... - ... do you perceive your privacy to be violated?","Based on the scenario described above, ... - ... do you perceive your privacy to be violated?","Based on the scenario described above, ... - ... do you perceive your privacy to be violated?",Group,Create New Field or Choose From Dropdown...,FL_4 - Block Randomizer - Display Order - FL_28,FL_4 - Block Randomizer - Display Order - FL_29,FL_4 - Block Randomizer - Display Order - FL_30,FL_4 - Block Randomizer - Display Order - FL_31,FL_4 - Block Randomizer - Display Order - FL_32,FL_4 - Block Randomizer - Display Order - FL_34,TWIN_ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_BROWSER""}","{""ImportId"":""QID1_VERSION""}","{""ImportId"":""QID1_OS""}","{""ImportId"":""QID1_RESOLUTION""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID151""}","{""ImportId"":""QID37""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID142_1""}","{""ImportId"":""QID1217928509_1""}","{""ImportId"":""QID1217928562_1""}","{""ImportId"":""Group""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""FL_4_DO"",""choiceId"":""FL_28""}","{""ImportId"":""FL_4_DO"",""choiceId"":""FL_29""}","{""ImportId"":""FL_4_DO"",""choiceId"":""FL_30""}","{""ImportId"":""FL_4_DO"",""choiceId"":""FL_31""}","{""ImportId"":""FL_4_DO"",""choiceId"":""FL_32""}","{""ImportId"":""FL_4_DO"",""choiceId"":""FL_34""}",TWIN_ID
4/21/25 12:11,4/21/25 12:13,0,100,83,1,4/21/25 12:13,R_3Hcu3q1njOuHfQp,,,,,anonymous,EN,Edge,135.0.0.0,Windows NT 10.0,1536x960,,3,1,1,1,,,,,1,NANT,,2,3,4,5,1,6,1
4/21/25 12:11,4/21/25 12:12,0,100,104,1,4/21/25 12:12,R_7hyzP5bl3bRlQiJ,,,,,anonymous,EN,Chrome,135.0.0.0,Macintosh,1152x720,,4,3,2,2,,,3,,,PSB,,1,4,5,6,2,3,2
4/21/25 22:21,4/21/25 22:23,0,100,67,1,4/21/25 22:23,R_1rpHNa6VCP2zGN5,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,2,9,1,2,,3,,,,PSA,,1,5,6,4,2,3,3
4/21/25 12:21,4/21/25 12:21,0,100,50,1,4/21/25 12:21,R_5n3JDzshC54qzzj,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1600x900,,2,2,1,2,,,,,1,NANT,,1,5,4,3,2,6,4
4/21/25 17:50,4/21/25 17:51,0,100,72,1,4/21/25 17:51,R_3jIDVVLgIpfhWPK,,,,,anonymous,EN,Chrome,134.0.0.0,CrOS x86_64 14541.0.0,1920x1080,,1,6,1,2,7,,,,,BT,,5,6,2,1,4,3,5
4/21/25 12:11,4/21/25 12:13,0,100,68,1,4/21/25 12:13,R_7pmPlTwXjJrdUTh,,,,,anonymous,EN,Chrome,135.0.0.0,Macintosh,1470x956,,4,8,2,2,,,,1,,UA,,5,2,4,3,6,1,6
4/21/25 13:15,4/21/25 13:16,0,100,47,1,4/21/25 13:16,R_71oU8CQUuxqVJrF,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1680x1050,,3,7,1,2,,,3,,,PSB,,3,2,4,6,1,5,9
4/21/25 16:02,4/21/25 16:04,0,100,75,1,4/21/25 16:04,R_1fJ9Ixblow7tR6K,,,,,anonymous,EN,Firefox,137,Windows NT 10.0,2091x1176,,4,9,1,1,,5,,,,PSA,,3,2,6,4,5,1,10
