StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,botcheck1,botcheck2,Q403_Browser,Q403_Version,Q403_Operating System,Q403_Resolution,Q635,rating_1_1,rating_2_1,rating_3_1,rating_4_1,rating_5_1,rating_6_1,rating_7_1,rating_8_1,rating_9_1,rating_10_1,Q313,Q313_3_TEXT,Q326,oonservative,Q315,Q315_4_TEXT,lean,strong_rep,strong_dem,OpenEndedComments,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,party_1,party_2,party_3,party_4,party_5,party_6,party_7,party_8,party_9,party_10,party_11,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,history_1,history_2,history_3,history_4,history_5,history_6,history_7,history_8,history_9,history_10,donation_1,donation_2,donation_3,donation_4,donation_5,donation_6,donation_7,donation_8,donation_9,donation_10,TWIN_ID
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,"... thirteen, fourteen, fifteen, sixteen, ________, eighteen, nineteen...
What number belongs in the blank space? Please type the number in numeral form. So, if the answer is one, type 1.","Is the following statement true or false? 

Strawberries are generally red",Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,"In this study, we will ask you to answer a few questions regarding your views. You must be over 18 years of age to participate. The following information is important for your informed consent. The project is titled “Donors” (Protocol Number: AAAV7598) and is being run by Professor Mohamed Hussein at Columbia University. The study is done to understand how people perceive others.



Payment: You will be compensated at a rate dislayed on the survey platform. This survey is expected to take less than 5 minutes to complete. Your payment will be provided to you through the survey platform you used to access this survey.



Risk & Benefits: Please note that there is no potential risk involved other than a potential breach of confidentiality. The benefits which may reasonably be expected from this study are knowledge about how adults process information and make decisions accordingly. The following people and/or agencies will be able to look at and copy your research records: (1) The investigator, study staff, and other professionals who may be evaluating

the study, (2) Authorities from Columbia University, including the Institutional Review Board (‘IRB’). An IRB is a committee organized to protect the rights and welfare of people involved in research.



Please make sure you read and understand the questions carefully before answering. There are no right or wrong answers, so feel free to report your answers openly and truthfully. Participation is completely voluntary, and you are free to choose whether to withdraw from the study at any time without penalty or consequences of any kind. All information that you provide will be treated confidentially and all questions are anonymous. Furthermore, we will keep the data in a password-locked local device of the researcher for security. CU Human Research Protection Office may obtain access to the data collected for this study.



If you have any questions about this study, you can contact mh4547@gsb.columbia.edu. Please write down this contact information or print this consent document before proceeding to the study so that you can contact the researcher should any questions or concerns arise during your participation in the study. Moreover, if at any time you have specific questions or concerns about your rights or welfare as a study participant, contact the Columbia University Morningside Human Research Protection Office (HRPO) at 212-305-5883 or email askirb@columbia.edu.



By clicking “I agree” below, you acknowledge that you understand the procedures described above, you have reviewed this information and any questions you have about it have been answered, you understand that you are not giving up any legal rights you are otherwise entitled to, you are at least 18 years old, and you agree to participate in this study.","Imagine you meet someone named John at a neighborhood barbecue.


John recently moved to your area. He is a [Field-F-1-1-1]. He [Field-F-1-1-2]

During your conversation, the topic of donating to political campaigns comes up.

John mentioned that he [Field-F-1-1-3].

 
John then said to you:



""[Field-F-1-1-4]"" 


Based on what John said, what's your overall impression of him? - Very unfavorable:Very favorable","Imagine you meet someone named Mark at a neighborhood barbecue.


Mark recently moved to your area. He is a [Field-F-2-1-1]. He [Field-F-2-1-2]

During your conversation, the topic of donating to political campaigns comes up.

Mark mentioned that he [Field-F-2-1-3].

 
Mark then said to you:



""[Field-F-2-1-4]"" 


Based on what Mark said, what's your overall impression of him? - Very unfavorable:Very favorable","Imagine you meet someone named Chris at a neighborhood barbecue.


Chris recently moved to your area. He is a [Field-F-3-1-1]. He [Field-F-3-1-2]

During your conversation, the topic of donating to political campaigns comes up.

Chris mentioned that he [Field-F-3-1-3].

 
Chris then said to you:



""[Field-F-3-1-4]"" 


Based on what Chris said, what's your overall impression of him? - Very unfavorable:Very favorable","Imagine you meet someone named James at a neighborhood barbecue.


James recently moved to your area. He is a [Field-F-4-1-1]. He [Field-F-4-1-2]

During your conversation, the topic of donating to political campaigns comes up.

James mentioned that he [Field-F-4-1-3].

 
James then said to you:



""[Field-F-4-1-4]"" 


Based on what James said, what's your overall impression of him? - Very unfavorable:Very favorable","Imagine you meet someone named Will at a neighborhood barbecue.


Will recently moved to your area. He is a [Field-F-5-1-1]. He [Field-F-5-1-2]

During your conversation, the topic of donating to political campaigns comes up.

Will mentioned that he [Field-F-5-1-3].

 
Will then said to you:



""[Field-F-5-1-4]"" 


Based on what Will said, what's your overall impression of him? - Very unfavorable:Very favorable","Imagine you meet someone named Richard at a neighborhood barbecue.


Richard recently moved to your area. He is a [Field-F-6-1-1]. He [Field-F-6-1-2]

During your conversation, the topic of donating to political campaigns comes up.

Richard mentioned that he [Field-F-6-1-3].

 
Richard then said to you:



""[Field-F-6-1-4]"" 


Based on what Richard said, what's your overall impression of him? - Very unfavorable:Very favorable","Imagine you meet someone named Marcus at a neighborhood barbecue.


Marcus recently moved to your area. He is a [Field-F-7-1-1]. He [Field-F-7-1-2]

During your conversation, the topic of donating to political campaigns comes up.

Marcus mentioned that he [Field-F-7-1-3].

 
Marcus then said to you:



""[Field-F-7-1-4]"" 


Based on what Marcus said, what's your overall impression of him? - Very unfavorable:Very favorable","Imagine you meet someone named Ryan at a neighborhood barbecue.


Ryan recently moved to your area. He is a [Field-F-8-1-1]. He [Field-F-8-1-2]

During your conversation, the topic of donating to political campaigns comes up.

Ryan mentioned that he [Field-F-8-1-3].

 
Ryan then said to you:



""[Field-F-8-1-4]"" 


Based on what Ryan said, what's your overall impression of him? - Very unfavorable:Very favorable","Imagine you meet someone named Noah at a neighborhood barbecue.


Noah recently moved to your area. He is a [Field-F-9-1-1]. He [Field-F-9-1-2]

During your conversation, the topic of donating to political campaigns comes up.

Noah mentioned that he [Field-F-9-1-3].

 
Noah then said to you:



""[Field-F-9-1-4]"" 


Based on what Noah said, what's your overall impression of him? - Very unfavorable:Very favorable","Imagine you meet someone named Daniel at a neighborhood barbecue.


Daniel recently moved to your area. He is a [Field-F-10-1-1]. He [Field-F-10-1-2]

During your conversation, the topic of donating to political campaigns comes up.

Daniel mentioned that he [Field-F-10-1-3].

 
Daniel then said to you:



""[Field-F-10-1-4]"" 


Based on what Daniel said, what's your overall impression of him? - Very unfavorable:Very favorable",What is your gender? - Selected Choice,"What is your gender? - Other, please specify: - Text",What is your age?,Here is a seven-point scale on which the political views that people might hold are arranged from extremely liberal to extremely conservative. Where would you place yourself on this scale?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an independent, or something else? - Other, please specify: - Text","As of today, do you lean more towards the Republican Party or more towards the Democratic Party?",Would you call yourself a strong Republican or not a very strong Republican?,Would you call yourself a strong Democrat or not a very strong Democrat?,"Thank you for completing the survey. If you have any comments about the survey, please let us know.",rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,party_1,party_2,party_3,party_4,party_5,party_6,party_7,party_8,party_9,party_10,party_11,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,history_1,history_2,history_3,history_4,history_5,history_6,history_7,history_8,history_9,history_10,donation_1,donation_2,donation_3,donation_4,donation_5,donation_6,donation_7,donation_8,donation_9,donation_10,TWIN_ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""QID609_TEXT""}","{""ImportId"":""QID679""}","{""ImportId"":""QID680_BROWSER""}","{""ImportId"":""QID680_VERSION""}","{""ImportId"":""QID680_OS""}","{""ImportId"":""QID680_RESOLUTION""}","{""ImportId"":""QID635""}","{""ImportId"":""QID478_4""}","{""ImportId"":""QID690_4""}","{""ImportId"":""QID692_4""}","{""ImportId"":""QID693_4""}","{""ImportId"":""QID694_4""}","{""ImportId"":""QID697_4""}","{""ImportId"":""QID699_4""}","{""ImportId"":""QID701_4""}","{""ImportId"":""QID702_4""}","{""ImportId"":""QID703_4""}","{""ImportId"":""QID589""}","{""ImportId"":""QID589_3_TEXT""}","{""ImportId"":""QID596_TEXT""}","{""ImportId"":""QID594""}","{""ImportId"":""QID590""}","{""ImportId"":""QID590_4_TEXT""}","{""ImportId"":""QID591""}","{""ImportId"":""QID592""}","{""ImportId"":""QID593""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""rid""}","{""ImportId"":""age""}","{""ImportId"":""gender""}","{""ImportId"":""hhi""}","{""ImportId"":""ethnicity""}","{""ImportId"":""hispanic""}","{""ImportId"":""education""}","{""ImportId"":""political_party""}","{""ImportId"":""region""}","{""ImportId"":""zip""}","{""ImportId"":""party_1""}","{""ImportId"":""party_2""}","{""ImportId"":""party_3""}","{""ImportId"":""party_4""}","{""ImportId"":""party_5""}","{""ImportId"":""party_6""}","{""ImportId"":""party_7""}","{""ImportId"":""party_8""}","{""ImportId"":""party_9""}","{""ImportId"":""party_10""}","{""ImportId"":""party_11""}","{""ImportId"":""occupation_1""}","{""ImportId"":""occupation_2""}","{""ImportId"":""occupation_3""}","{""ImportId"":""occupation_4""}","{""ImportId"":""occupation_5""}","{""ImportId"":""occupation_6""}","{""ImportId"":""occupation_7""}","{""ImportId"":""occupation_8""}","{""ImportId"":""occupation_9""}","{""ImportId"":""occupation_10""}","{""ImportId"":""history_1""}","{""ImportId"":""history_2""}","{""ImportId"":""history_3""}","{""ImportId"":""history_4""}","{""ImportId"":""history_5""}","{""ImportId"":""history_6""}","{""ImportId"":""history_7""}","{""ImportId"":""history_8""}","{""ImportId"":""history_9""}","{""ImportId"":""history_10""}","{""ImportId"":""donation_1""}","{""ImportId"":""donation_2""}","{""ImportId"":""donation_3""}","{""ImportId"":""donation_4""}","{""ImportId"":""donation_5""}","{""ImportId"":""donation_6""}","{""ImportId"":""donation_7""}","{""ImportId"":""donation_8""}","{""ImportId"":""donation_9""}","{""ImportId"":""donation_10""}",TWIN_ID
4/21/25 12:08,4/21/25 12:11,100,158,1,4/21/25 12:11,17,1,Edge,135.0.0.0,Windows NT 10.0,1536x960,4,7,9,8,8,8,4,8,5,5,5,2,,45,5,3,,1,,,,,,,,,,,,,,Democrat,Democrat,Republican,Democrat,Republican,Republican,Republican,Republican,Republican,Democrat,,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Republicans,never used to donate to politicians,used to only donate to Republicans,used to only donate to Democrats,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Republicans,I currently don't donate to any politician,I currently only donate to Democrats,1
4/21/25 12:02,4/21/25 12:06,100,219,1,4/21/25 12:06,17,1,Chrome,135.0.0.0,Macintosh,1152x720,4,6,1,1,9,6,4,9,1,1,7,2,,62,1,2,,,,1,,,,,,,,,,,,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Democrat,Democrat,Democrat,Democrat,,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,never used to donate to politicians,used to only donate to Democrats,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Democrats,I currently don't donate to any politician,I currently don't donate to any politician,I currently only donate to Democrats,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",2
4/21/25 12:00,4/21/25 12:03,100,164,1,4/21/25 12:03,17,1,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,4,7,8,7,7,5,8,7,7,7,9,1,,73,4,2,,,,2,none,,,,,,,,,,,Democrat,Republican,Democrat,Democrat,Republican,Democrat,Republican,Democrat,Republican,Republican,,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,used to only donate to Democrats,never used to donate to politicians,never used to donate to politicians,used to only donate to Democrats,used to only donate to Republicans,never used to donate to politicians,never used to donate to politicians,used to only donate to Democrats,used to only donate to Republicans,never used to donate to politicians,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently don't donate to any politician,I currently only donate to Democrats,I currently only donate to Republicans,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently don't donate to any politician,I currently don't donate to any politician,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",3
4/21/25 12:18,4/21/25 12:20,100,115,1,4/21/25 12:20,17,1,Chrome,135.0.0.0,Windows NT 10.0,1600x900,4,9,9,9,9,9,9,9,9,9,9,1,,60,4,3,,3,,,,,,,,,,,,,,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Democrat,Democrat,Republican,Democrat,,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",never used to donate to politicians,never used to donate to politicians,used to only donate to Democrats,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,used to only donate to Democrats,used to donate to politicians from both parties,used to only donate to Democrats,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently only donate to Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Democrats,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently only donate to Republicans,I currently only donate to Democrats,4
4/21/25 11:59,4/21/25 12:04,100,304,1,4/21/25 12:04,17,1,Chrome,135.0.0.0,Macintosh,1470x956,4,1,1,1,1,1,1,1,1,1,1,1,,63,3,2,,,,2,"My responses were almost identical for each selection so I wanted you to know I thought deeply about each situation and my responses ended up being similar, not because I wasn't paying attention. Thank you for letting me participate. ",,,,,,,,,,,Democrat,Republican,Republican,Democrat,Republican,Democrat,Democrat,Republican,Republican,Democrat,,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,never used to donate to politicians,used to only donate to Republicans,never used to donate to politicians,never used to donate to politicians,used to only donate to Republicans,used to only donate to Democrats,used to donate to politicians from both parties,used to only donate to Republicans,never used to donate to politicians,never used to donate to politicians,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently only donate to Republicans,I currently donate to both Democrats and Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently only donate to Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,6
4/21/25 13:22,4/21/25 13:24,100,135,1,4/21/25 13:24,17,1,Chrome,135.0.0.0,Windows NT 10.0,1680x1050,4,1,5,7,7,1,1,7,7,8,7,1,,35,4,3,,3,,,,,,,,,,,,,,Democrat,Republican,Democrat,Democrat,Democrat,Republican,Democrat,Republican,Democrat,Democrat,,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Democrats,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,used to only donate to Democrats,used to only donate to Democrats,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans,I currently only donate to Democrats,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently don't donate to any politician,I currently only donate to Democrats,9
4/21/25 11:58,4/21/25 12:01,100,171,1,4/21/25 12:01,17,1,Firefox,137,Windows NT 10.0,1920x1080,4,7,6,7,7,7,6,5,5,6,6,2,,54,5,1,,,2,,,,,,,,,,,,,Republican,Republican,Democrat,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,used to only donate to Republicans,used to donate to politicians from both parties,used to only donate to Democrats,never used to donate to politicians,used to only donate to Democrats,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,I currently only donate to Republicans,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Democrats,I currently only donate to Democrats,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,11
4/21/25 12:08,4/21/25 12:10,100,146,1,4/21/25 12:10,17,1,Chrome,135.0.0.0,Windows NT 10.0,1280x720,4,8,9,7,8,6,8,8,8,8,6,1,,52,6,1,,,2,,,,,,,,,,,,,Republican,Democrat,Democrat,Republican,Republican,Republican,Democrat,Republican,Democrat,Democrat,,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",never used to donate to politicians,used to only donate to Democrats,used to only donate to Democrats,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Democrats,used to only donate to Democrats,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Democrats,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans,I currently only donate to Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently only donate to Republicans,I currently don't donate to any politician,I currently only donate to Democrats,12
