StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Informed Consent,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q20_12,Q20_13,Q20_14,Q20_15,Q20_16,Q20_17,Q20_18,Q20_19,Q20_20,Q20_DO_1,Q20_DO_2,Q20_DO_3,Q20_DO_4,Q20_DO_5,Q20_DO_6,Q20_DO_7,Q20_DO_8,Q20_DO_9,Q20_DO_10,Q20_DO_11,Q20_DO_12,Q20_DO_13,Q20_DO_14,Q20_DO_15,Q20_DO_16,Q20_DO_17,Q20_DO_18,Q20_DO_19,Q20_DO_20,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q1_16,Q1_17,Q1_18,Q1_19,Q1_DO_1,Q1_DO_2,Q1_DO_3,Q1_DO_4,Q1_DO_5,Q1_DO_6,Q1_DO_7,Q1_DO_8,Q1_DO_9,Q1_DO_10,Q1_DO_11,Q1_DO_12,Q1_DO_13,Q1_DO_14,Q1_DO_15,Q1_DO_16,Q1_DO_17,Q1_DO_18,Q1_DO_19,Q32,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_DO_1,Q22_DO_2,Q22_DO_3,Q22_DO_4,Q22_DO_5,Q22_DO_6,Q22_DO_7,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_DO_1,Q21_DO_2,Q21_DO_3,Q21_DO_4,Q21_DO_5,Q21_DO_6,Q21_DO_7,Q21_DO_8,Q21_DO_9,Q21_DO_10,Q24,Q33,Q34,Q29,Q28,Q28_27_TEXT,SC0,TWIN_ID,
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,"Ever wonder why you spend 15 minutes deciding what to watch on Netflix or why seasoned teams at work struggle to make tough calls? This brief 15-minute survey will help you understand and gain insights into your decision-making style!

People approach decision-making in different ways—some rely on analysis, while others trust their intuition. This research aims to explore those styles and how they develop. You’ll answer a short questionnaire about how you make decisions in your daily life, whether at work or beyond. We’ll also ask you some questions about your background.

You were invited to participate in this study because you participated in a previous four-wave study (IRB-AAAV5832) which asked you questions about your personality and preferences. The measures collected in this new study will also be used to create a “digital twin,” which is a large language model customized to replicate your responses.

The study will take approximately 15 minutes. There are no right or wrong answers. The survey is completely anonymous and no identifying information will be collected. Only the researchers involved in this study will have access to the responses you provide. By clicking below you indicate that you have read and understood the information above and you are agreeing to taking part in this study.",Please read the following statements and indicate the extent to which you agree or disagree. - I have a reputation for having an analytical mindset,Please read the following statements and indicate the extent to which you agree or disagree. - Data-driven insights often lead to better decisions,Please read the following statements and indicate the extent to which you agree or disagree. - I effectively communicate complex data in a way that is easy for others to understand,Please read the following statements and indicate the extent to which you agree or disagree. - I am confident in my ability to spot problems in data,Please read the following statements and indicate the extent to which you agree or disagree. - My colleagues consider me attentive to details when I work with data,Please read the following statements and indicate the extent to which you agree or disagree. - I prefer step-by-step plans over improvisation,Please read the following statements and indicate the extent to which you agree or disagree. - I hold off on decisions until I feel fully informed,Please read the following statements and indicate the extent to which you agree or disagree. - I often verify the credibility of data sources,Please read the following statements and indicate the extent to which you agree or disagree. - Please select “somewhat disagree” here,Please read the following statements and indicate the extent to which you agree or disagree. - I am skilled at translating data to effective visulization,Please read the following statements and indicate the extent to which you agree or disagree. - I like to roll around in data,Please read the following statements and indicate the extent to which you agree or disagree. - I am good at making back-of-the-envelope calculations,Please read the following statements and indicate the extent to which you agree or disagree. - I don't feel comfortable working with numbers,"Please read the following statements and indicate the extent to which you agree or disagree. - When presented with supporting data, I actively challenge the status quo",Please read the following statements and indicate the extent to which you agree or disagree. - I prioritize data over opinions,Please read the following statements and indicate the extent to which you agree or disagree. - I take a logical approach to problem-solving,Please read the following statements and indicate the extent to which you agree or disagree. - I wait for strong statistical evidence before rethinking my point of view,Please read the following statements and indicate the extent to which you agree or disagree. - I strive for precision in everything I do,Please read the following statements and indicate the extent to which you agree or disagree. - I struggle to identify patterns in data,"Please read the following statements and indicate the extent to which you agree or disagree. - Before making a decision, I typically consult multiple sources of information",Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I have a reputation for having an analytical mindset,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - Data-driven insights often lead to better decisions,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I effectively communicate complex data in a way that is easy for others to understand,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I am confident in my ability to spot problems in data,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - My colleagues consider me attentive to details when I work with data,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I prefer step-by-step plans over improvisation,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I hold off on decisions until I feel fully informed,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I often verify the credibility of data sources,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - Please select “somewhat disagree” here,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I am skilled at translating data to effective visulization,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I like to roll around in data,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I am good at making back-of-the-envelope calculations,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I don't feel comfortable working with numbers,"Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - When presented with supporting data, I actively challenge the status quo",Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I prioritize data over opinions,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I take a logical approach to problem-solving,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I wait for strong statistical evidence before rethinking my point of view,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I strive for precision in everything I do,Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - I struggle to identify patterns in data,"Please read the following statements and indicate the extent to which you agree or disagree. - Display Order - Before making a decision, I typically consult multiple sources of information","Q1 - I notice when things feel off, even without clear evidence",Q1 - Others view me as someone who is future-focused,Q1 - More time should be spent defining the problem than analyzing the data,Q1 - I often think about the decision to be made before conducting analysis,Q1 - I often disregard my inner voice when making decisions,"Q1 - I structure my communication around the recommendation, not the data","Q1 - I often think about how things feel overall, rather than analyzing each part",Q1 - I find that my intial intuition is often correct,Q1 - I consider my intuition an important input when making decisions,Q1 - I often make connections between unrelated topics,Q1 - I find it challenging to make decisions under tight time constraints,Q1 - I am open to exploring unconventional solutions,Q1 - I am comfortable figuring things out as I go,Q1 - I often challenge the status quo,Q1 - I find abstract concepts more engaging than concrete facts,Q1 - I am considered as someone who challenges the status quo,Q1 - I use trial and error as a valuable part of the learning process,Q1 - People see me as someone who ask thought-provoking questions,Q1 - My colleagues view me as someone who sees the big picture,"Q1 - Display Order - I notice when things feel off, even without clear evidence",Q1 - Display Order - Others view me as someone who is future-focused,Q1 - Display Order - More time should be spent defining the problem than analyzing the data,Q1 - Display Order - I often think about the decision to be made before conducting analysis,Q1 - Display Order - I often disregard my inner voice when making decisions,"Q1 - Display Order - I structure my communication around the recommendation, not the data","Q1 - Display Order - I often think about how things feel overall, rather than analyzing each part",Q1 - Display Order - I find that my intial intuition is often correct,Q1 - Display Order - I consider my intuition an important input when making decisions,Q1 - Display Order - I often make connections between unrelated topics,Q1 - Display Order - I find it challenging to make decisions under tight time constraints,Q1 - Display Order - I am open to exploring unconventional solutions,Q1 - Display Order - I am comfortable figuring things out as I go,Q1 - Display Order - I often challenge the status quo,Q1 - Display Order - I find abstract concepts more engaging than concrete facts,Q1 - Display Order - I am considered as someone who challenges the status quo,Q1 - Display Order - I use trial and error as a valuable part of the learning process,Q1 - Display Order - People see me as someone who ask thought-provoking questions,Q1 - Display Order - My colleagues view me as someone who sees the big picture,Please type “-3”  here,"Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - The culture of my organization is highly fact-based","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - Leaders in my organization use data for support rather than illumination","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - The stakeholders at my organization are data-driven","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - My organization often bases decisions on rigorous analysis","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - My organization allows access to the data I need","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - My organization has the appropriate capabilities to analyze data","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - Analysis in my organization often does not lead to meaningful insights","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - Display Order - The culture of my organization is highly fact-based","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - Display Order - Leaders in my organization use data for support rather than illumination","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - Display Order - The stakeholders at my organization are data-driven","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - Display Order - My organization often bases decisions on rigorous analysis","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - Display Order - My organization allows access to the data I need","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - Display Order - My organization has the appropriate capabilities to analyze data","Please read the following statements about your organization and indicate the extent to which you agree or disagree. If you are not currently employed, consider your most recent organization - Display Order - Analysis in my organization often does not lead to meaningful insights",Q21 - Leaders in my organization often know the direction we should go before seeing the evidence,Q21 - My organization prioritizes critical thinking skills in hiring people.,Q21 - My organization often jumps to the data without carefully considering the problem,Q21 - Questioning is a valued aspect of my organizational culture,Q21 - Unexpected results are often dismissed by leaders in my organization,Q21 - Meetings in my organization are purposeful,Q21 - My organization is doing well at converting insights to actions,Q21 - My organization focuses too much on analysis versus actions,Q21 - When needed my organization can make quick decisions,"Q21 - Please select ""Strongly agree"" here",Q21 - Display Order - Leaders in my organization often know the direction we should go before seeing the evidence,Q21 - Display Order - My organization prioritizes critical thinking skills in hiring people.,Q21 - Display Order - My organization often jumps to the data without carefully considering the problem,Q21 - Display Order - Questioning is a valued aspect of my organizational culture,Q21 - Display Order - Unexpected results are often dismissed by leaders in my organization,Q21 - Display Order - Meetings in my organization are purposeful,Q21 - Display Order - My organization is doing well at converting insights to actions,Q21 - Display Order - My organization focuses too much on analysis versus actions,Q21 - Display Order - When needed my organization can make quick decisions,"Q21 - Display Order - Please select ""Strongly agree"" here",What aspect of decision making do you think is the biggest gap in your organizations in making smarter data-driven decisions?,"You need to estimate the market size for a new gadget your company might launch, but there is no direct data on this niche product. What approach are you most likely to use?","Here are some facts about a company in 2022 and 2023. In up to 100 words, please explain what is going on with this company.","What is the size of the company you work at (or worked last for, if you're not currently working)?","Which industry do you currently work in? If you are not currently employed, please indicate the industry you most recently worked in - Selected Choice","Which industry do you currently work in? If you are not currently employed, please indicate the industry you most recently worked in - Other (please specify) - Text",Score,TWIN_ID,
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""QID8""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_117""}","{""ImportId"":""QID21_118""}","{""ImportId"":""QID21_119""}","{""ImportId"":""QID21_120""}","{""ImportId"":""QID21_121""}","{""ImportId"":""QID21_122""}","{""ImportId"":""QID21_123""}","{""ImportId"":""QID21_135""}","{""ImportId"":""QID21_124""}","{""ImportId"":""QID21_125""}","{""ImportId"":""QID21_126""}","{""ImportId"":""QID21_127""}","{""ImportId"":""QID21_128""}","{""ImportId"":""QID21_129""}","{""ImportId"":""QID21_130""}","{""ImportId"":""QID21_131""}","{""ImportId"":""QID21_132""}","{""ImportId"":""QID21_133""}","{""ImportId"":""QID21_134""}","{""ImportId"":""QID21_DO"",""choiceId"":""1""}","{""ImportId"":""QID21_DO"",""choiceId"":""2""}","{""ImportId"":""QID21_DO"",""choiceId"":""3""}","{""ImportId"":""QID21_DO"",""choiceId"":""4""}","{""ImportId"":""QID21_DO"",""choiceId"":""5""}","{""ImportId"":""QID21_DO"",""choiceId"":""6""}","{""ImportId"":""QID21_DO"",""choiceId"":""7""}","{""ImportId"":""QID21_DO"",""choiceId"":""8""}","{""ImportId"":""QID21_DO"",""choiceId"":""9""}","{""ImportId"":""QID21_DO"",""choiceId"":""10""}","{""ImportId"":""QID21_DO"",""choiceId"":""11""}","{""ImportId"":""QID21_DO"",""choiceId"":""12""}","{""ImportId"":""QID21_DO"",""choiceId"":""13""}","{""ImportId"":""QID21_DO"",""choiceId"":""14""}","{""ImportId"":""QID21_DO"",""choiceId"":""15""}","{""ImportId"":""QID21_DO"",""choiceId"":""16""}","{""ImportId"":""QID21_DO"",""choiceId"":""17""}","{""ImportId"":""QID21_DO"",""choiceId"":""18""}","{""ImportId"":""QID21_DO"",""choiceId"":""19""}","{""ImportId"":""QID21_DO"",""choiceId"":""20""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_99""}","{""ImportId"":""QID1_100""}","{""ImportId"":""QID1_101""}","{""ImportId"":""QID1_102""}","{""ImportId"":""QID1_103""}","{""ImportId"":""QID1_104""}","{""ImportId"":""QID1_105""}","{""ImportId"":""QID1_106""}","{""ImportId"":""QID1_107""}","{""ImportId"":""QID1_108""}","{""ImportId"":""QID1_109""}","{""ImportId"":""QID1_110""}","{""ImportId"":""QID1_111""}","{""ImportId"":""QID1_112""}","{""ImportId"":""QID1_113""}","{""ImportId"":""QID1_114""}","{""ImportId"":""QID1_115""}","{""ImportId"":""QID1_116""}","{""ImportId"":""QID1_DO"",""choiceId"":""1""}","{""ImportId"":""QID1_DO"",""choiceId"":""2""}","{""ImportId"":""QID1_DO"",""choiceId"":""3""}","{""ImportId"":""QID1_DO"",""choiceId"":""4""}","{""ImportId"":""QID1_DO"",""choiceId"":""5""}","{""ImportId"":""QID1_DO"",""choiceId"":""6""}","{""ImportId"":""QID1_DO"",""choiceId"":""7""}","{""ImportId"":""QID1_DO"",""choiceId"":""8""}","{""ImportId"":""QID1_DO"",""choiceId"":""9""}","{""ImportId"":""QID1_DO"",""choiceId"":""10""}","{""ImportId"":""QID1_DO"",""choiceId"":""11""}","{""ImportId"":""QID1_DO"",""choiceId"":""12""}","{""ImportId"":""QID1_DO"",""choiceId"":""13""}","{""ImportId"":""QID1_DO"",""choiceId"":""14""}","{""ImportId"":""QID1_DO"",""choiceId"":""15""}","{""ImportId"":""QID1_DO"",""choiceId"":""16""}","{""ImportId"":""QID1_DO"",""choiceId"":""17""}","{""ImportId"":""QID1_DO"",""choiceId"":""18""}","{""ImportId"":""QID1_DO"",""choiceId"":""19""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_143""}","{""ImportId"":""QID23_144""}","{""ImportId"":""QID23_145""}","{""ImportId"":""QID23_146""}","{""ImportId"":""QID23_147""}","{""ImportId"":""QID23_148""}","{""ImportId"":""QID23_DO"",""choiceId"":""1""}","{""ImportId"":""QID23_DO"",""choiceId"":""2""}","{""ImportId"":""QID23_DO"",""choiceId"":""3""}","{""ImportId"":""QID23_DO"",""choiceId"":""4""}","{""ImportId"":""QID23_DO"",""choiceId"":""5""}","{""ImportId"":""QID23_DO"",""choiceId"":""6""}","{""ImportId"":""QID23_DO"",""choiceId"":""7""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_135""}","{""ImportId"":""QID22_136""}","{""ImportId"":""QID22_137""}","{""ImportId"":""QID22_138""}","{""ImportId"":""QID22_143""}","{""ImportId"":""QID22_140""}","{""ImportId"":""QID22_141""}","{""ImportId"":""QID22_142""}","{""ImportId"":""QID22_144""}","{""ImportId"":""QID22_DO"",""choiceId"":""1""}","{""ImportId"":""QID22_DO"",""choiceId"":""2""}","{""ImportId"":""QID22_DO"",""choiceId"":""3""}","{""ImportId"":""QID22_DO"",""choiceId"":""4""}","{""ImportId"":""QID22_DO"",""choiceId"":""5""}","{""ImportId"":""QID22_DO"",""choiceId"":""6""}","{""ImportId"":""QID22_DO"",""choiceId"":""7""}","{""ImportId"":""QID22_DO"",""choiceId"":""8""}","{""ImportId"":""QID22_DO"",""choiceId"":""9""}","{""ImportId"":""QID22_DO"",""choiceId"":""10""}","{""ImportId"":""QID25""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_27_TEXT""}","{""ImportId"":""SC_9B899jEEz66h0rA""}",TWIN_ID,
6/10/2025 9:04,6/10/2025 9:17,100,748,1,6/10/2025 9:17,1,2,5,2,4,2,4,5,5,2,2,2,2,5,5,5,5,4,4,4,4,7,17,5,2,10,3,16,13,4,11,6,12,8,9,15,14,20,18,1,19,4,2,4,2,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,6,11,7,9,4,18,13,3,12,2,19,15,16,14,10,17,8,1,5,-3,4,4,4,3,4,4,1,4,6,3,5,1,2,7,4,4,2,4,4,4,4,4,4,5,8,3,6,1,9,2,5,4,10,7,3,4,"This company is taking a extreme downshift, every category is failing . It looks to be a leadership problem as well as a consumer drop. The service personnel turn-over is the main key note. Because it shows this is a horrible place to work since they cant keep people at this company. That means all positions in management to the CEO have to resign and leave, there is no way of fixing without a complete overall.",7,16,,223,1,
6/10/2025 9:06,6/10/2025 9:15,100,539,1,6/10/2025 9:15,1,1,5,1,1,2,3,3,5,2,1,1,2,4,4,3,3,4,1,4,2,13,12,4,17,3,2,9,11,6,8,19,5,10,1,18,15,7,20,14,16,4,1,2,1,3,2,2,2,3,2,4,3,4,3,3,1,5,2,1,1,17,7,9,18,5,13,2,19,16,8,12,6,10,3,11,14,4,15,-3,1,1,1,1,1,1,1,2,4,5,7,6,3,1,1,1,1,1,1,1,1,1,1,5,10,6,7,9,3,4,8,2,5,1,1,4,"This looks like a company that is struggling and reaching a crisis situation. Sales have decreased $2 million in the last year.  Complaints have gone up, up 33% in the past year and while complaints are going up, complaints that are going unresolved have more than doubled. At the same time, service personnel turnover has more than doubled as well.  Not sure if the the personnel turning over is causing more customer dissatisfaction but they seem related. ",4,24,,148,2,
6/10/2025 8:52,6/10/2025 8:59,100,411,1,6/10/2025 8:59,1,4,4,3,3,4,2,4,4,2,3,3,4,2,4,4,4,4,4,4,4,10,14,13,7,16,15,17,4,1,19,5,8,11,9,20,3,6,18,2,12,4,4,3,4,3,4,2,3,4,3,3,4,4,3,4,3,4,4,4,4,9,12,2,1,16,13,19,10,14,7,15,17,18,8,11,3,6,5,-3,3,4,4,4,4,4,4,1,6,4,5,2,3,7,4,3,3,3,5,3,4,3,4,5,6,9,4,5,1,3,10,8,7,2,1,1,"Things are going downhill fast. Every sector in that list is trending badly and in need of dire attention. 20% loss in sales is dragging everything else down and probably affects the complaints, and turnover increase.",6,15,,210,3,
6/10/2025 9:27,6/10/2025 9:34,100,387,1,6/10/2025 9:34,1,3,5,5,5,3,5,5,5,2,5,4,5,1,3,5,5,5,5,1,5,6,16,4,12,9,15,20,19,13,18,3,5,8,1,7,2,10,17,11,14,5,5,3,4,2,1,3,4,5,5,1,5,5,3,3,3,5,5,5,7,17,19,13,3,12,18,6,10,16,4,8,11,14,1,2,5,15,9,-3,5,5,5,5,5,5,1,6,1,4,7,2,3,5,3,5,1,5,1,5,4,1,4,5,10,3,1,9,7,2,8,6,4,5,2,2,"Sales are falling, complaints are rising, the number of unresolved complaints is rising and personnel turnover is rising.",4,14,,255,4,
6/10/2025 10:51,6/10/2025 11:14,100,1362,1,6/10/2025 11:14,1,2,4,2,3,3,4,4,4,2,3,3,3,4,3,4,5,4,3,3,5,16,19,13,5,7,15,4,12,6,1,11,3,10,20,14,2,8,17,18,9,4,3,3,4,2,3,4,4,4,4,4,4,3,3,4,3,4,4,3,4,1,2,8,9,15,14,3,12,19,5,6,10,16,13,11,17,18,7,-3,3,3,3,3,3,3,3,4,5,2,7,6,3,1,3,3,3,3,3,3,3,3,3,5,2,3,10,9,5,7,4,6,1,8,1,2,"It looks like this company is on a downward spiral. Whatever it is that they are selling, it is starting to fizzle out. Their call center complaints are on an upward trend, as are the unresolved complaints, and their sales are down. The service personnel turnover is increasing, making it seem like there is a problem in management as well.",7,13,,201,5,
6/10/2025 11:35,6/10/2025 11:40,100,304,1,6/10/2025 11:40,1,4,5,4,4,5,4,4,4,2,3,2,4,1,3,4,5,4,5,1,5,12,17,19,6,7,13,1,5,10,8,15,16,2,3,18,11,9,20,14,4,4,5,2,4,2,4,4,3,4,4,2,4,4,3,3,3,4,5,4,9,12,18,14,5,11,10,19,6,17,3,2,7,13,4,16,1,8,15,-3,5,3,4,4,5,5,2,6,4,2,3,5,7,1,2,4,2,4,2,4,3,2,2,5,9,8,3,1,10,6,2,4,7,5,5,1,"There seems to be a huge customer service problem at the company, that is affecting the bottom line. Nearly half of customer complaints aren't resolved and people are purchasing less from the company as a result. Nearly a quarter of the service staff turned over in 2023 which is alarming. I would assume that public perception of the company is now in the trash due to the poor performance of their customer service. ",9,16,,237,9,
6/10/2025 8:43,6/10/2025 8:48,100,323,1,6/10/2025 8:48,1,4,3,1,2,4,4,4,2,2,1,3,2,2,4,2,4,2,2,2,4,10,19,7,17,12,2,16,5,11,3,15,8,4,9,1,13,18,20,6,14,5,2,3,4,2,3,4,3,4,5,5,4,2,5,4,4,4,4,3,5,10,8,19,6,7,14,11,16,17,13,4,3,1,12,18,9,2,15,-3,3,3,3,3,3,3,3,2,1,4,3,7,6,5,3,3,3,3,3,3,3,3,3,5,10,4,9,1,6,2,7,3,8,5,3,1,"they're selling less, probably as a result of their product getting worse, people are complaining about it and less is being done to address those complaints, and people are getting burnt out by those conditions and leaving",2,13,,190,10,
6/10/2025 8:40,6/10/2025 8:46,100,362,1,6/10/2025 8:46,1,3,3,3,2,4,5,2,4,2,1,1,2,4,1,3,3,2,3,5,4,4,2,9,13,12,10,18,5,8,16,19,6,1,15,20,3,17,11,14,7,4,5,3,4,1,3,3,4,4,2,3,4,4,1,3,1,5,4,4,10,6,3,17,19,16,15,2,13,4,5,8,11,12,18,14,9,7,1,-3,1,2,4,2,4,4,5,7,4,1,3,2,6,5,1,1,3,1,4,2,1,1,1,5,6,5,9,8,2,4,3,1,7,10,3,4,The company is beginning to lose money. They are showing poor customer service and their products are failing. They are also beginning to lose a lot of employees.,7,27,insurance,186,11,
