study name,persona specification,specification_name_full,ran_date,variable name,correlation between the responses from humans vs. their twins,CI_lower,CI_upper,z-score for correlation between humans vs. their twins,accuracy between humans vs. their twins,mean_human,mean_twin,paired t-test t-stat,paired t-test p-value,std_human,std_twin,variance test F-stat,variance test p-value,effect size based on human,effect size based on twin,domain=social?,domain=cognitive?,replicating know human bias?,preference measure?,stimuli dependent?,knowledge question?,political question?,sample size
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,Q6,0.6797982760398142,0.6449685408755229,0.7118097269835825,26.154558634478676,0.7992992992992993,2.875875875875876,3.4184184184184185,-17.65101749768287,6.815614854473802e-61,1.214726194689461,1.2132786948941572,1.002387519487174,0.9699604893345406,,,1,0,0,1,0,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,Q8,0.5552223776651976,0.5107883713983358,0.5966979022065069,19.75306119855362,0.761011011011011,3.2962962962962963,3.7377377377377377,-10.535662546505804,1.1053797676299323e-24,1.3527587400248886,1.4496517746765716,0.8707897613104303,0.028964172547794,,,1,0,0,1,0,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,Q9,0.1555333040906194,0.0944200409570301,0.2154787363044905,4.948713139237283,0.7470804137470803,3.3633633633633635,3.3793793793793796,-0.4556614907202189,0.648732540888794,0.8744303035752594,0.8346307159932314,1.0976444162875074,0.1412958377234963,,,1,0,0,1,0,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,Q10,0.1661428385307032,0.1052028233125232,0.2258397072275516,5.292439790476583,0.6451451451451451,2.967967967967968,2.5195195195195197,7.961674462931882,4.597115164341451e-15,1.4131415048750695,1.3427491649632064,1.1075963662054886,0.1066512657891047,,,1,0,0,1,0,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,Q13,0.2758609020961883,0.2175592308842246,0.3322010485346558,8.937529982302111,0.7762762762762763,3.667667667667667,3.5675675675675675,2.6016017763842263,0.0094163334585045,1.076095548231435,0.9364523881863236,1.3204752525980363,1.1710878992321485e-05,,,1,0,0,1,0,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,Q14,0.12557150375086,0.0640462093216433,0.1861458299856226,3.983998765289482,0.6649983316649983,2.980980980980981,3.6996996996997,-18.088815566089423,1.784564932759874e-63,1.0405788039033397,0.8457780980210436,1.513690486205756,6.881561986915585e-11,,,1,0,0,1,0,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,Q15,0.3149664772366057,0.2579821766410808,0.3697670034172718,10.289943547938964,0.7977977977977978,3.8328328328328327,4.413413413413413,-19.12011798096728,1.1158872282527495e-69,0.9586036328602918,0.6074522670743833,2.4903123742837576,2.220446049250313e-16,,,1,0,0,1,0,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,Q16,0.3805742307579515,0.3262512028205639,0.4323918324640541,12.64685594648729,0.7997997997997998,3.3853853853853852,3.5875875875875876,-5.945522453149729,3.806508233426615e-09,1.070943727542092,0.825499233224474,1.6830613800879002,2.220446049250313e-16,,,1,0,0,1,0,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job1_item1,0.1734238392660818,0.1126110193606062,0.2329423203100088,5.529045967285003,0.7440774107440774,2.967967967967968,2.011011011011011,16.326785044481333,2.731580479804249e-53,1.8740328099904804,0.4851284139637141,14.922478307563798,2.220446049250313e-16,-0.0706884866482539,-0.1945534790664658,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job1_item2,0.1441569851048507,0.082873861804594,0.2043539296626248,4.581431458841028,0.7532532532532532,3.93993993993994,3.984984984984985,-0.7649746581430578,0.4444674844298512,1.6923724902301418,1.0559378695470023,2.5687106332680245,2.220446049250313e-16,0.0351221331216736,-0.0740998986301385,1,0,0,1,1,0,0,999
