persona specification,Accuracy Nudge,Affective Primes,Consumer Minimalism,Defaults,Digital certificates for luxury consumption,Junk Fees,Obedient twins,Preferences for redistribution,Privacy,Promiscuous donors,Story Beliefs,Targeting fairness,context effects,hiring algorithms,idea evaluation,idea generation,infotainment news sharing,quantitative intuition,recommendation systems
GPT5,0.0734,0.4605,0.1817,0.2507,0.1281,0.2955,0.2242,0.4133,0.6224,0.3798,0.4218,0.207,0.0542,0.1734,0.0354,-0.0085,0.1958,0.2446,0.2948
deepseek,0.0724,0.4656,0.1328,0.198,0.0693,0.1966,0.1696,0.3623,0.6089,0.2882,0.4307,0.116,0.0245,0.1437,0.2285,-0.0148,0.1558,0.1886,0.4047
demographics_only,0.0242,0.2494,0.053,0.1666,0.1338,0.1755,0.124,0.297,0.6144,0.3369,0.4509,0.188,0.0366,0.0838,0.1842,-0.0175,0.0861,0.0964,0.2193
demographics_only_temperature_zero,0.0109,0.2575,0.0772,0.1661,0.1023,0.1967,0.1336,0.3047,0.6121,0.3568,0.4502,0.1745,0.0261,0.0989,0.1696,0.0524,0.0803,0.0907,0.2021
empty_persona,0.051,0.1569,-0.0653,0.1025,0.0561,0.0586,0.0503,0.0353,0.6249,0.1599,0.4482,0.1915,-0.0509,0.0162,0.1774,0.0261,0.003,0.0202,0.1626
empty_persona_temperature_zero,0.0559,0.1599,-0.068,0.141,0.0218,0.0606,0.0581,0.0266,0.6204,0.157,0.4537,0.1163,-0.0008,0.022,0.0006,-0.0124,-0.0145,0.0121,0.1539
full_persona_without_reasoning,0.1391,0.4947,0.3328,0.24,0.1316,0.251,0.2044,0.3835,0.5848,0.3725,0.4576,0.1333,0.0146,0.1757,0.0334,0.0724,0.215,0.2402,0.2019
gemini,0.11,0.3959,0.1159,0.1557,0.1009,0.1321,0.2053,0.3757,0.5267,0.3087,0.4488,0.156,0.0267,0.1665,0.1843,0.0293,0.1485,0.2421,0.3586
include_reasoning_temperature_zero,0.1436,0.4723,0.1632,0.2468,0.1466,0.2326,0.2194,0.4091,0.5976,0.3735,0.4552,0.173,0.0451,0.1906,0.1679,0.0477,0.2458,0.274,0.2143
persona_summary,0.0893,0.4513,0.1621,0.2504,0.1257,0.2443,0.1625,0.3371,0.5916,0.3726,0.4546,0.1678,0.0201,0.1569,0.2151,0.0228,0.1618,0.2249,0.1875
persona_summary_include_reasoning,0.0934,0.4386,0.134,0.2381,0.1525,0.252,0.168,0.3546,0.6006,0.346,0.4528,0.1748,-0.0076,0.1356,0.2123,0.0439,0.1362,0.2214,0.1999
persona_summary_include_reasoning_temperature_zero,0.0908,0.4418,0.1555,0.2336,0.1404,0.2534,0.1735,0.3632,0.6009,0.3535,0.4507,0.1615,0.0638,0.1388,0.1994,-0.0696,0.1314,0.2102,0.197
persona_summary_temperature_zero,0.0847,0.4476,0.1619,0.2546,0.2015,0.2831,0.1735,0.3385,0.5887,0.3835,0.4637,0.1621,0.0108,0.1718,0.0438,0.0222,0.1528,0.2116,0.1781
temperature_zero,0.1602,0.4906,0.1445,0.2351,0.1319,0.2404,0.2012,0.3906,0.5856,0.4002,0.4672,0.2181,0.0212,0.1813,0.1935,-0.0421,0.2421,0.3037,0.1844
with_reasoning,0.1232,0.4873,0.1691,0.2047,0.1685,0.2482,0.2048,0.4045,0.5863,0.3722,0.4588,0.0513,0.0247,0.1685,0.1587,0.053,0.224,0.2562,0.1953
