TWIN_ID,Q10,Q13,Q14,Q15,Q16,Q6,Q8,Q9,job1_item1,job1_item2,job1_item3,job1_item4,job1_item5,job1_item6,job1_item7,job1_item8,job2_item1,job2_item2,job2_item3,job2_item4,job2_item5,job2_item6,job2_item7,job2_item8,job3_item1,job3_item2,job3_item3,job3_item4,job3_item5,job3_item6,job3_item7,job3_item8,job4_item1,job4_item2,job4_item3,job4_item4,job4_item5,job4_item6,job4_item7,job4_item8,target_behavior_green,target_behavior_organ,choice_target_attraction,choice_target_binary,choice_target_compromise,Q26,Q33,Q35,Q38,PPV,I_indiv_mean,I_org_mean,Q_indiv_mean,Q_org_mean,scenario_close_QI,scenario_open_QI,gratitude,gratitude_manipulation_check,lack of control,lack_of_control_manipulation_check,Fairness,Father education,Redistribution 1,Redistribution 2,Trust,Work vs Luck,DAT_perf,SSPT,task 1 - attitude_change,task 2 - S1,task 2 - S2,task 2 - S3,task 3 - S1,task 3 - S2,task 3 - S3,Fake1_3,Fake2_3,Fake3_3,Fake4_3,Fake5_3,Fake6_3,Fake7_3,Fake8_3,Real1_3,Real2_3,Real3_3,Real4_3,Real5_3,Real6_3,Real7_3,Real8_3,fairness_average,percent_correct,reg_support,rating_10_1,rating_1_1,rating_2_1,rating_3_1,rating_4_1,rating_5_1,rating_6_1,rating_7_1,rating_8_1,rating_9_1,rating1,rating10,rating11,rating12,rating13,rating14,rating15,rating16,rating17,rating18,rating19,rating2,rating20,rating3,rating4,rating5,rating6,rating7,rating8,rating9,DV1,log_WTP,Achap1_aro,Achap1_val,Achap2_aro,Achap2_val,Bchap1_aro,Bchap1_val,Bchap2_aro,Bchap2_val,algo_knowledge_Netflix,algo_knowledge_TikTok,pref_control_Netflix,pref_control_TikTok,strategization_type1_Netflix,strategization_type1_TikTok,strategization_type2_Netflix,strategization_type2_TikTok,usage_Netflix,usage_TikTok,Profile1,Profile10,Profile11,Profile12,Profile13,Profile14,Profile15,Profile16,Profile17,Profile18,Profile2,Profile3,Profile4,Profile5,Profile6,Profile7,Profile8,Profile9,fair1
1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0,0.0,1.0,,,,,1.0,3.8421052631578942,3.7777777777777777,3.7222222222222223,3.4285714285714284,0.0,1.0,,,,,1.0,13.0,4.0,2.0,1.0,2.0,,,,,,,,,,5.0,2.0,3.0,1.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,2.3333333333333335,66.66666666666666,7.0,5.0,7.0,9.0,8.0,8.0,8.0,4.0,8.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,5.0,5.521460917862246,3.0,3.7,3.8,2.1,3.0,4.0,4.0,4.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
2.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,4.0,5.0,3.0,2.0,4.0,6.0,5.0,4.0,1.0,3.0,1.0,4.0,3.0,5.0,6.0,7.0,6.0,5.0,2.0,4.0,6.0,6.0,5.0,7.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,6.0,7.0,1.0,1.0,1.0,1.0,0.0,7.0,6.0,7.0,2.0,3.0,2.526315789473684,1.0,2.6666666666666665,1.0,0.0,1.0,,,,,1.0,13.0,5.0,4.0,2.0,3.0,,,0.0,2.0,4.5,1.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,66.66666666666666,4.5,7.0,6.0,1.0,1.0,9.0,6.0,4.0,9.0,1.0,1.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.333333333333333,5.19295685089021,,,,,,,,,1.0,,2.0,,0.0,,0.0,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,9.0
3.0,5.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0,7.0,6.0,7.0,7.0,3.0,3.526315789473684,3.5555555555555554,3.5555555555555554,3.857142857142857,1.0,1.0,,,,,1.0,12.0,3.0,3.0,3.0,1.0,0.8404874498191561,1.0132088813344498,-3.0,2.5,1.5,3.5,6.0,5.0,5.0,1.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,4.0,1.0,3.6666666666666665,50.0,5.5,9.0,7.0,8.0,7.0,7.0,5.0,8.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,6.0,5.272999558563747,3.95,3.0,3.75,2.7,4.8,1.25,2.5,4.5,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,
4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,7.0,1.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,,,,,1.0,3.789473684210526,3.2222222222222223,4.166666666666667,4.428571428571429,0.0,0.0,,,,,2.0,18.0,5.0,5.0,3.0,3.0,0.8430965765943524,1.035666349679934,0.0,1.0,1.0,5.5,7.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,50.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,4.0,4.605170185988092,2.1,3.2,1.85,3.1,4.1,3.9,4.6,4.6,1.0,,4.0,,0.0,,0.0,,2.0,,1.0,1.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,1.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0,1.0,9.0
5.0,1.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,7.0,3.526315789473684,3.0,3.388888888888889,3.0,0.0,1.0,,,4.0,5.0,3.0,13.0,3.0,4.0,1.0,1.0,,,3.0,3.0,3.5,3.5,1.0,3.0,7.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.6666666666666665,83.33333333333334,2.5,,,,,,,,,,,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,5.333333333333333,4.605170185988092,3.1,2.1,5.0,4.5,4.5,2.8,4.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,,,,,,,,,2.875,7.0,2.0,14.0,5.0,4.0,1.0,2.0,,,0.0,3.0,1.5,3.0,7.0,6.0,7.0,5.0,4.0,2.0,4.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.5789473684210527,2.7777777777777777,3.6666666666666665,4.0,1.0,1.0,3.583333333333333,3.0,,,,,,,,,,,1.0,3.5,2.0,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,1.0,50.0,5.0,7.0,1.0,5.0,7.0,7.0,1.0,1.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
10.0,1.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,,,,,,,,,,5.0,3.6842105263157894,3.0,2.6666666666666665,3.0,1.0,1.0,,,4.548611111111111,3.0,1.0,13.0,5.0,5.0,2.0,3.0,,,0.0,5.5,6.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.666666666666667,5.703782474656201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,4.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,1.0,0.0,1.0,0.0,,,,,4.0,3.263157894736842,1.6666666666666667,2.8333333333333335,3.142857142857143,0.0,1.0,,,,,3.0,10.0,3.0,4.0,2.0,3.0,0.8725063781789293,1.0088888975399348,0.0,3.5,5.5,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,4.0,4.0,2.0,66.66666666666666,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,4.605170185988092,1.5,3.0,1.75,4.0,2.5,3.0,2.5,2.75,,,,,,,,,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666666666666665,33.33333333333333,7.0,6.0,8.0,9.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
13.0,1.0,5.0,4.0,5.0,2.0,5.0,3.0,1.0,1.0,4.0,7.0,7.0,5.0,7.0,7.0,7.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,7.0,7.0,7.0,7.0,1.0,3.3684210526315788,2.888888888888889,4.166666666666667,3.857142857142857,0.0,0.0,,,,,,,,,,,,,0.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,4.0,4.0,6.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,,,,,1.0,3.210526315789474,1.8888888888888888,3.0,2.142857142857143,1.0,1.0,6.583333333333334,7.0,,,2.0,12.0,5.0,5.0,3.0,3.0,,,10.0,5.0,3.5,2.0,5.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,,,,6.0,5.0,5.0,1.0,1.0,8.0,1.0,1.0,7.0,6.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,,3.210526315789474,3.0,3.5555555555555554,3.2857142857142856,1.0,1.0,,,3.076388888888889,6.0,3.0,14.0,3.0,1.0,1.0,1.0,,,30.0,4.5,2.5,3.5,5.0,7.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,4.605170185988092,,,,,,,,,1.0,,2.0,,0.0,,0.0,,3.0,,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,
16.0,5.0,3.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,7.0,3.473684210526316,2.888888888888889,3.1666666666666665,3.2857142857142856,0.0,1.0,,,,,2.0,18.0,5.0,4.0,2.0,2.0,,,-3.0,3.0,3.5,2.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,5.0,4.0,1.0,3.3333333333333335,16.666666666666664,6.0,4.0,6.0,4.0,4.0,4.0,9.0,4.0,9.0,9.0,9.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,6.0,6.214608098422191,,,,,,,,,1.0,,1.0,,0.0,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,
